Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Reprojection Error;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;3720.0;4186.6;0.04214851195550491;sift;3720.0;4186.6;0.06299022521396516;L2;BF;nan;575.2;1542.4;1.0725177294;0.6948371536529143;2.148097684284319;0.15462365591397847;0.3725773286684146;0.16387008201803335;0.21839036259447164
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3720.0;4186.6;0.04214851195550491;brisk;3522.0;3963.6;0.012986877665081314;L2;BF;nan;35.4;967.2;0.7282836046;0.7515005471407312;20.648591841190047;0.009516129032258064;0.03672628998877474;0.0099408336433367;0.015103596256532159
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3720.0;4186.6;0.04214851195550491;daisy;3720.0;4186.6;0.038508667027678495;L2;BF;nan;32.6;519.0;1.3330829795999999;2.695383380391373;43.459386834860396;0.008763440860215055;0.06353429225551148;0.009333758480806364;0.015353205133548837
sift;3720.0;4186.6;0.04214851195550491;freak;3344.0;3775.0;0.011534410634364629;L2;BF;nan;34.4;855.0;0.6679040522;0.7799408618355363;19.554212636549572;0.009247311827956989;0.04023053672960241;0.009659882021576235;0.015031691810969416
sift;3720.0;4186.6;0.04214851195550491;brief;3212.0;3653.4;0.002383610795518731;L2;BF;nan;48.0;1305.2;0.44687377100000003;0.34199361949435375;9.44151645864115;0.012903225806451613;0.03666744884003887;0.013388602504827197;0.019076407665879876
sift;3720.0;4186.6;0.04214851195550491;lucid;3720.0;4186.6;0.004842164994139461;L2;BF;nan;49.0;1276.8;1.6559694266;1.2908162898065;33.73507050696913;0.013172043010752688;0.0383638813714381;0.013693822961506438;0.019585349869817727
sift;3720.0;4186.6;0.04214851195550491;latch;3265.0;3713.4;0.0015075407461747794;L2;BF;nan;61.6;1678.8;0.2584124586;0.15428928519982849;4.247702326719583;0.016559139784946237;0.03678101808971533;0.017262935997590833;0.022811740407072588
sift;3720.0;4186.6;0.04214851195550491;vgg;3720.0;4186.6;0.9408156389997065;L2;BF;nan;116.4;1312.6;4.369625571599999;3.3196960372497615;82.28458988588656;0.031290322580645166;0.09076291309717632;0.03608341747710404;0.0465302815998255
sift;3720.0;4186.6;0.04214851195550491;beblid;3720.0;4186.6;0.006485078672755801;L2;BF;nan;243.8;1238.6;0.7529265;0.6070785249896308;5.658520495144612;0.06553763440860214;0.1952049721442733;0.06956626100511949;0.09805292515467859
sift;3720.0;4186.6;0.04214851195550491;teblid;3720.0;4186.6;0.00384085609694427;L2;BF;nan;102.2;1378.0;0.501392708;0.36320819093382484;7.007992494369074;0.027473118279569896;0.07528052097211099;0.029633044587341235;0.04018870198934819
sift;3720.0;4186.6;0.04214851195550491;boost;3720.0;4186.6;0.22078163467279222;L2;BF;nan;181.0;1325.8;1.4135787495999999;1.061344663806254;11.68398506697743;0.04865591397849462;0.13535733988724405;0.05080370586880657;0.07146524747337676
akaze;896.0;963.6;0.0989000998680453;sift;896.0;963.6;0.0886216032959363;L2;BF;nan;117.4;286.4;0.2170138224;0.7665289481427568;3.707603987335341;0.13102678571428572;0.3906736914525443;0.1351159130695128;0.19555338583737308
akaze;896.0;963.6;0.0989000998680453;akaze;896.0;963.6;0.09869727867203176;L2;BF;nan;85.0;348.6;0.24415021860000002;0.700811207688172;5.801749450877585;0.09486607142857142;0.2435507405499305;0.0980627358113935;0.1364881385327318
akaze;896.0;963.6;0.0989000998680453;orb;892.0;958.6;0.00922166656944665;L2;BF;nan;21.4;296.4;0.1321994272;0.44606459950909977;6.398885530737792;0.023883928571428573;0.07208708514814316;0.02439723596328794;0.0358658052669843
akaze;896.0;963.6;0.0989000998680453;brisk;896.0;963.6;0.016088557230785006;L2;BF;nan;52.0;277.2;0.15682142719999997;0.5660085758251889;4.964626851445892;0.05803571428571429;0.18545845017400467;0.059780668324082485;0.08838431302738807
akaze;896.0;963.6;0.0989000998680453;kaze;896.0;963.6;0.2609357308584538;L2;BF;nan;76.2;157.6;0.36930122860000003;2.5644096890300814;11.685852106321196;0.08504464285714286;0.4041874292757216;0.08785379635617237;0.13826272190221414
akaze;896.0;963.6;0.0989000998680453;daisy;896.0;963.6;0.15046558637610835;L2;BF;nan;20.4;146.0;0.2943477914;2.1226125115536396;16.795302301447965;0.022767857142857142;0.13747345243287373;0.023303891946516584;0.03884484703178708
akaze;896.0;963.6;0.0989000998680453;freak;896.0;963.6;0.013590771441170027;L2;BF;nan;37.2;280.0;0.1538806352;0.5505374275341672;6.2198504809803925;0.04151785714285714;0.12967461744894346;0.04247850235066232;0.06287953766444757
akaze;896.0;963.6;0.0989000998680453;brief;896.0;963.6;0.004977051055948416;L2;BF;nan;26.8;322.2;0.1312887296;0.40755006606300637;5.492952908294749;0.029910714285714284;0.08414913643502551;0.03060791761489643;0.044112382406407705
akaze;896.0;963.6;0.0989000998680453;lucid;896.0;963.6;0.007990892875700891;L2;BF;nan;19.8;329.4;0.1986282916;0.6033228595261215;10.103551456578947;0.02209821428571429;0.06007057961933099;0.022534673552349487;0.032291177860355444
akaze;896.0;963.6;0.0989000998680453;latch;896.0;963.6;0.0029082169254162097;L2;BF;nan;24.6;459.2;0.11115204199999999;0.24201505977040125;4.622062704650921;0.02745535714285714;0.05395368383285996;0.02813102667498878;0.03637798164154533
akaze;896.0;963.6;0.0989000998680453;vgg;896.0;963.6;0.980201907566245;L2;BF;nan;67.4;311.4;1.0596743749999997;3.4591072623015693;41.99661931285177;0.07522321428571428;0.1883023036871366;0.07706009701601987;0.10714858808557404
akaze;896.0;963.6;0.0989000998680453;beblid;896.0;963.6;0.008563830698418812;L2;BF;nan;61.4;303.4;0.14212115600000003;0.46974071450483734;3.9328688968822556;0.0685267857142857;0.19693248289627344;0.07079212154800445;0.10163970872132762
akaze;896.0;963.6;0.0989000998680453;teblid;896.0;963.6;0.006343175305409188;L2;BF;nan;38.2;343.8;0.129527583;0.37722584656743635;4.476265354267676;0.04263392857142857;0.11392975410231432;0.04391620237211901;0.062024838622446746
akaze;896.0;963.6;0.0989000998680453;boost;896.0;963.6;0.24726328818677645;L2;BF;nan;37.8;316.2;0.35641462519999995;1.1262545587853543;13.581976924102914;0.0421875;0.11968077715552236;0.04317874276626282;0.062376985976853
orb;8973.0;12500.4;0.0019615555230096528;sift;8973.0;12500.4;0.5354019524955783;L2;BF;nan;217.6;862.8;11.762638860200001;15.239255863280942;166.27844896255783;0.024250529365875406;0.1974475890335982;0.028103708027096774;0.042894776949134725
orb;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;8973.0;12500.4;0.0019615555230096528;orb;8973.0;12500.4;0.002756190146524327;L2;BF;nan;377.0;3403.8;2.2193274784;0.6397950111616515;11.171692823805465;0.04201493368995877;0.1199815789571775;0.04600955815013637;0.06207639061598134
orb;8973.0;12500.4;0.0019615555230096528;brisk;7385.0;10773.6;0.015532674877950825;L2;BF;nan;94.8;2607.0;2.9513213534;1.1141921921725721;31.459312207952042;0.010565028418589101;0.03671354304384427;0.011072282318294194;0.016387305480375983
orb;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;8973.0;12500.4;0.0019615555230096528;daisy;8973.0;12500.4;0.017774821596499183;L2;BF;nan;51.0;956.2;8.261495913800001;8.932056581262513;165.28685687531657;0.0056837178201270475;0.053495568452943176;0.005912957563263002;0.010259001595364584
orb;8973.0;12500.4;0.0019615555230096528;freak;4677.0;7326.4;0.01616496569649597;L2;BF;nan;51.0;1294.0;1.3413391138;1.0225192773603435;26.011717620361573;0.005683717820127048;0.039490632358991744;0.005912957563263003;0.00993177463070801
orb;8973.0;12500.4;0.0019615555230096528;brief;8973.0;12500.4;0.0023104894029463974;L2;BF;nan;133.0;3561.0;2.3817503528;0.6555514157357261;17.834104675510382;0.014822244511311713;0.03712332488054819;0.015319743528330168;0.021110056125438162
orb;8973.0;12500.4;0.0019615555230096528;lucid;8973.0;12500.4;0.004603833602042942;L2;BF;nan;117.2;3011.2;10.5131512042;3.4192756227921484;88.0122628323935;0.013061406441546863;0.03901045553065928;0.013554028017222;0.0195003277433271
orb;8973.0;12500.4;0.0019615555230096528;latch;8973.0;12500.4;0.001208947653037669;L2;BF;nan;159.0;4796.8;0.6078417186;0.12443234519450153;3.7691999394158757;0.017719826145101973;0.033374343639451756;0.018388035609136565;0.023058114659841696
orb;8973.0;12500.4;0.0019615555230096528;vgg;8973.0;12500.4;1.0338062556130214;L2;BF;nan;76.4;1420.6;14.890847421799998;10.305509058408767;203.65413948715428;0.008514432185445222;0.054854648088368055;0.00898266655440377;0.014720599944835239
orb;8973.0;12500.4;0.0019615555230096528;beblid;8973.0;12500.4;0.011800948498035535;L2;BF;nan;511.8;2965.4;4.048201300600001;1.3465204113065188;20.470434717161186;0.05703778000668673;0.1811347690998242;0.06353940931732989;0.08669547443211431
orb;8973.0;12500.4;0.0019615555230096528;teblid;8973.0;12500.4;0.006284917009052686;L2;BF;nan;253.2;3447.4;2.2571705302;0.6432561260332562;15.3315013785728;0.028217987295218988;0.07948666503988634;0.03178827435852791;0.04156720786605504
orb;8973.0;12500.4;0.0019615555230096528;boost;8973.0;12500.4;0.23938432574795493;L2;BF;nan;142.6;2839.6;5.164763644199999;1.7830814595446136;48.17197410723803;0.01589212080686504;0.05366592960867461;0.01745290203672686;0.024445794999620702
brisk;2239.0;3309.2;0.029569104511001032;sift;2239.0;3309.2;0.13171915258694303;L2;BF;nan;169.8;433.2;0.8139145096;1.8969992280502528;11.612824256611294;0.07583742742295668;0.3837909217737487;0.08933322983526241;0.12651879434299856
brisk;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
brisk;2239.0;3309.2;0.029569104511001032;orb;2172.0;3198.8;0.005442499509526875;L2;BF;nan;38.6;863.8;0.2586816874;0.29117039484217544;6.597576936766295;0.017239839213934793;0.04555961311560043;0.01893004529793174;0.024818857036553475
