Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;3720.0;4186.6;0.0427169930461618;sift;3720.0;4186.6;0.0629738759958702;l2;bf;575.2;1542.4;1.0686038752;0.6922009810653875;2.1503798454079743;0.15462365591397847;0.3725773286684146;0.16387008201803335;0.21839036259447164;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;brisk;3522.0;3963.6;0.012827671825615571;l2;bf;75.4;967.2;0.7251168223999999;0.7478226430646668;18.31801977455728;0.020268817204301078;0.08353635634543982;0.02316894297709518;0.032593322384487367;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;daisy;3720.0;4186.6;0.038257343162221215;l2;bf;32.6;519.0;1.3252382288;2.6792121157367035;43.208532297119575;0.008763440860215055;0.06353429225551148;0.009333758480806364;0.015353205133548837;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;freak;3344.0;3775.0;0.01156658121870771;l2;bf;65.4;855.0;0.6703244791999999;0.7825121929889487;16.581238668853167;0.017580645161290327;0.079405652903743;0.019801243556358615;0.02877621495968683;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;brief;3212.0;3653.4;0.002399511646009178;l2;bf;49.4;1305.2;0.44684065640000004;0.3417513385694978;9.292379659418804;0.013279569892473118;0.037921123484033745;0.013862021930523816;0.0196562519200428;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;lucid;3720.0;4186.6;0.004806902961275163;l2;bf;49.0;1276.8;1.6544735622000002;1.2896515320408126;33.6999942498149;0.013172043010752688;0.0383638813714381;0.013693822961506438;0.019585349869817727;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;latch;3265.0;3713.4;0.0014506126104652521;l2;bf;57.2;1678.8;0.25712452080000003;0.15333415679646156;4.5254771248832615;0.015376344086021504;0.03419999647158612;0.016068005881206708;0.021190017140733586;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;vgg;3720.0;4186.6;0.9351024187573318;l2;bf;116.4;1312.6;4.344650998800001;3.3003143404788324;81.82715286625537;0.031290322580645166;0.09076291309717632;0.03608341747710404;0.0465302815998255;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;beblid;3720.0;4186.6;0.006924005533393171;l2;bf;243.8;1238.6;0.7541135416;0.6079259380173772;5.6706946082412735;0.06553763440860214;0.1952049721442733;0.06956626100511949;0.09805292515467859;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;teblid;3720.0;4186.6;0.0037797272068968587;l2;bf;102.2;1378.0;0.500920885;0.3627536600013125;7.0041650158982405;0.027473118279569896;0.07528052097211099;0.029633044587341235;0.04018870198934819;nan;nan;nan
sift;3720.0;4186.6;0.0427169930461618;boost;3720.0;4186.6;0.22197903166696253;l2;bf;181.0;1325.8;1.4169096972000002;1.0638376656827884;11.666140990784594;0.04865591397849462;0.13535733988724405;0.05080370586880657;0.07146524747337676;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;sift;896.0;963.6;0.08638128577695055;l2;bf;117.4;286.4;0.21361899980000004;0.7539616518398325;3.6218861674737424;0.13102678571428572;0.3906736914525443;0.1351159130695128;0.19555338583737308;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;akaze;896.0;963.6;0.09768199737259893;l2;bf;85.0;348.6;0.2412264482;0.6924508995908039;5.705248339124578;0.09486607142857142;0.2435507405499305;0.0980627358113935;0.1364881385327318;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;orb;892.0;958.6;0.008832465780877447;l2;bf;35.4;296.4;0.130319042;0.44041132631418767;5.2949161084618;0.03950892857142858;0.11817243638994353;0.040416646680559234;0.05920246000282229;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;brisk;896.0;963.6;0.015983909194478348;l2;bf;52.0;277.2;0.1543176978;0.5569418280889142;4.824929314753602;0.05803571428571429;0.18545845017400467;0.059780668324082485;0.08838431302738807;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;kaze;896.0;963.6;0.2614280821619016;l2;bf;76.2;157.6;0.3702157182;2.55971896992581;11.605017900481283;0.08504464285714286;0.4041874292757216;0.08785379635617237;0.13826272190221414;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;daisy;896.0;963.6;0.15158186462594628;l2;bf;20.4;146.0;0.29741329159999996;2.1402132976578008;16.981607995042737;0.022767857142857142;0.13747345243287373;0.023303891946516584;0.03884484703178708;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;freak;896.0;963.6;0.013445429621203273;l2;bf;37.2;280.0;0.1528273332;0.5466487041754843;6.15029545847887;0.04151785714285714;0.12967461744894346;0.04247850235066232;0.06287953766444757;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;brief;896.0;963.6;0.00470096956939748;l2;bf;26.8;322.2;0.1289418964;0.4008305164632827;5.363508280790043;0.029910714285714284;0.08414913643502551;0.03060791761489643;0.044112382406407705;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;lucid;896.0;963.6;0.007952769527921726;l2;bf;19.8;329.4;0.1962165208;0.5965897238453575;9.987045199561402;0.02209821428571429;0.06007057961933099;0.022534673552349487;0.032291177860355444;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;latch;896.0;963.6;0.0028691164290421335;l2;bf;24.6;459.2;0.10957569760000001;0.23879526190748482;4.544699656730401;0.02745535714285714;0.05395368383285996;0.02813102667498878;0.03637798164154533;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;vgg;896.0;963.6;0.975152323310939;l2;bf;67.4;311.4;1.0537053433999999;3.4393516917184686;41.74622884874627;0.07522321428571428;0.1883023036871366;0.07706009701601987;0.10714858808557404;nan;nan;nan
akaze;896.0;963.6;0.09864224736802248;beblid;896.0;963.6;0.009736493509895448;l2;bf;61.4;303.4;0.1432925416;0.4732620778372286;3.9170045100547477;0.0685267857142857;0.19693248289627344;0.07079212154800445;0.10163970872132762;nan;nan;nan
