Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;3381.0;916.6;0.14714785925716328;sift;3381.0;916.6;0.10210497648935868;L2;BF;444.0;606.6;0.19943608620000003;0.3756830275083179;0.5500036065246185;0.13132209405501333;0.7043316083323878;0.49058063988660316;0.21585595794858467;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;brisk;3247.0;886.8;0.011864097618588846;L2;BF;157.2;404.0;0.13436155300000002;0.5004270427557064;2.492644604763105;0.04649511978704526;0.29522663405701477;0.12874062415114507;0.07761021969058768;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;daisy;3381.0;916.6;0.14999971740114398;L2;BF;129.2;224.6;0.2239715834;1.8570555126094157;7.860323196902732;0.03821354628808045;0.4073067235177191;0.09824426007967901;0.0676111854648017;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;freak;3113.0;867.8;0.00839133663687364;L2;BF;84.2;383.6;0.12907741359999997;0.44724601985564655;3.3516119344591795;0.02490387459331559;0.18351621827248485;0.07611675832584258;0.042704013634438695;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;brief;3040.0;870.6;0.0032311011099812707;L2;BF;61.8;530.4;0.11478904320000001;0.26803286116494085;3.725661048873806;0.018278615794143745;0.09958773152704459;0.05843033214323238;0.030234385512885063;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;lucid;3381.0;916.6;0.006012901139081219;L2;BF;178.4;500.6;0.1454499558;0.34761391251202545;1.563029703428441;0.052765454007690026;0.30322161560038363;0.16781820790643892;0.08800656733133198;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;latch;3083.0;875.2;0.0018915888530054606;L2;BF;29.6;637.0;0.1099797146;0.206459654914269;4.093165821765778;0.00875480627033422;0.04949907600079343;0.03704509084735791;0.01446044954089987;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;vgg;3381.0;916.6;0.07208976286095628;L2;BF;371.6;578.0;0.1772822324;0.38606918776434374;1.096822244712353;0.10990831115054718;0.5327278031256208;0.3344969339529656;0.17650711175947634;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;beblid;3381.0;916.6;0.0027306959675682677;L2;BF;309.0;536.6;0.1342739522;0.28825286363042146;0.5520443519247266;0.09139307897071872;0.5511001396321884;0.34195896791200875;0.1536771732317329;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;teblid;3381.0;916.6;0.0019521561128827913;L2;BF;227.0;550.0;0.1254458558;0.25921679778456314;0.6635300742797889;0.06713989943803608;0.40291663436202024;0.25868734820130934;0.11285434654823918;nan;nan;nan
sift;3381.0;916.6;0.14714785925716328;boost;3381.0;916.6;0.016172614838281356;L2;BF;138.2;482.6;0.1266763288;0.3007002774161494;1.26487422189001;0.04087548062703343;0.2631939864612104;0.14582322233028358;0.0695096897208004;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;sift;1499.0;961.0;0.030372364291909947;L2;BF;759.2;777.0;0.11274967020000001;0.15791810399888867;0.1637918438125423;0.5064709806537692;0.9709723494682378;0.7753835512447939;0.6535003581225542;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;akaze;1499.0;961.0;0.06963363828456605;L2;BF;733.8;772.4;0.14815410839999998;0.20350750719893096;0.21758386451449105;0.4895263509006004;0.9428780722244262;0.7553659254708568;0.6355540034820611;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;orb;1494.0;959.8;0.005248011614721422;L2;BF;257.4;498.4;0.0885775748;0.2090977807104863;0.8868217791046324;0.17171447631754505;0.4373927020951836;0.23592093372692316;0.24186758979819784;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;brisk;1499.0;961.0;0.00985699668073058;L2;BF;422.2;515.8;0.1001409012;0.237860228935015;0.39497368238618147;0.28165443629086057;0.7275238904389655;0.3945036564874897;0.3910026660301618;nan;nan;nan
akaze;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;daisy;1499.0;961.0;0.11328991431365623;L2;BF;264.4;319.4;0.18994437179999998;0.9552956635115517;1.6958146819003779;0.17638425617078052;0.7123624751256483;0.23927645939228936;0.266339997690292;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;freak;1499.0;961.0;0.007460651875877499;L2;BF;404.0;521.6;0.09847530699999998;0.21692066797409;0.34455119285444386;0.2695130086724483;0.7158771788574868;0.3877320177910954;0.38172675565876063;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;brief;1499.0;961.0;0.0029078405700013617;L2;BF;326.8;501.6;0.0863232378;0.1867009403388802;0.34878772883559694;0.21801200800533688;0.6094485318209862;0.318297843453384;0.31675706516137575;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;lucid;1499.0;961.0;0.005561952290114447;L2;BF;252.8;498.4;0.10413859219999999;0.22570079557970124;0.7139073753648434;0.16864576384256172;0.4476296872485094;0.23580351760581567;0.24197163144501815;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;latch;1499.0;961.0;0.001558308553412532;L2;BF;88.8;561.4;0.0815986062;0.14990724304867933;2.1016350384411053;0.059239492995330226;0.14037755978104757;0.08034596107099631;0.08298287884985667;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;vgg;1499.0;961.0;0.06493676497245544;L2;BF;609.0;687.4;0.1452529106;0.24682311877628932;0.3498920771205096;0.40627084723148765;0.8148487525995585;0.5803886008334445;0.5245349876341208;nan;nan;nan
akaze;1499.0;961.0;0.08113842271515373;beblid;1499.0;961.0;0.002117173573959294;L2;BF;601.2;669.0;0.0918137368;0.15078114374309445;0.17991965919375041;0.4010673782521681;0.8719989180424026;0.6002354179649378;0.5384722077448059;nan;nan;nan
