Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;8820.0;5912.2;0.016925282855976286;sift;8820.0;5912.2;0.014779649945172089;l2;bf;1310.8;2626.2;0.2948910092;0.11818687050793539;0.4072888032891955;0.14861678004535145;0.43515958528732074;0.19615742085679821;0.2188109013287264
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;8820.0;5912.2;0.016925282855976286;brisk;8468.0;5709.8;0.0081623816215186;l2;bf;374.2;1856.0;0.3311913906;0.18252622506277483;4.342757720421668;0.04242630385487528;0.14581379157936125;0.04754353298212606;0.06526722175419604
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;8820.0;5912.2;0.016925282855976286;daisy;8820.0;5912.2;0.016781106534896867;l2;bf;723.4;1189.8;0.3565558088;0.555174247923644;5.01660500911206;0.08201814058956917;0.27646278967087695;0.08848997737869942;0.11892757140752122
sift;8820.0;5912.2;0.016925282855976286;freak;8200.0;5526.0;0.005090669891831702;l2;bf;273.2;1635.4;0.3034112938000001;0.18776327864195658;4.402540445863385;0.0309750566893424;0.1270638973884096;0.035336468080937225;0.04952446149562542
sift;8820.0;5912.2;0.016925282855976286;brief;7989.0;5385.2;0.0021569149047252416;l2;bf;157.4;2413.2;0.1676784114;0.07078429325539778;1.7149261213819487;0.01784580498866213;0.05967206762452824;0.02365001338615787;0.027332845825465364
sift;8820.0;5912.2;0.016925282855976286;lucid;8820.0;5912.2;0.0023020018433910472;l2;bf;79.4;2265.6;0.5309181759999999;0.23400457485297071;6.71365410411304;0.009002267573696146;0.035223683023796935;0.0137616034957979;0.014263461474271105
sift;8820.0;5912.2;0.016925282855976286;latch;8105.0;5454.8;0.0010202193508428218;l2;bf;91.8;3081.0;0.1323374428;0.043923124368322485;1.4476932167766412;0.010408163265306122;0.0304250207603902;0.016482083455022466;0.015449797475953436
