Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;8820.0;5912.6;0.0419318966346944;sift;8820.0;5912.6;0.06177453889957314;l2;bf;1310.8;2626.2;2.5391319387999998;0.9789884345641928;3.126554511455938;0.14861678004535145;0.43515958528732074;0.19613863509657314;0.2188109013287264;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;brisk;8468.0;5710.2;0.010403498216694753;l2;bf;371.0;1855.8;2.1389446306;1.1609590447636575;31.740260271611533;0.04206349206349207;0.14366122900942233;0.046844636915091754;0.06464880397178784;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;daisy;8820.0;5912.6;0.03326873870726364;l2;bf;722.8;1189.8;3.7424477999999994;5.644775798533905;49.35802691082664;0.08195011337868482;0.275584312364874;0.08834940691827414;0.1188012954946516;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;freak;8200.0;5526.4;0.009567317038152317;l2;bf;272.0;1635.4;1.9766358612000001;1.2124220241937826;28.80705050501722;0.03083900226757369;0.12642326437542215;0.035172329226856876;0.04930107707019003;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;brief;7989.0;5385.6;0.0021548477494593866;l2;bf;157.6;2413.0;0.8493188618000002;0.3492296176293907;8.451799468531068;0.017868480725623585;0.05966923208352587;0.023623587080300885;0.027360072648411487;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;lucid;8820.0;5912.6;0.0031493030417385644;l2;bf;80.0;2265.8;4.7217755850000005;2.056845729238028;59.96264583175747;0.009070294784580499;0.03546658468513381;0.01387508329331657;0.014368858734970253;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;latch;8105.0;5455.2;0.0011998012238937773;l2;bf;93.0;3081.0;0.39732598480000003;0.12874285498139243;4.346414838086836;0.010544217687074831;0.03054960612269892;0.016465557795964304;0.015615168879165614;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;vgg;8820.0;5912.6;0.8457560563700429;l2;bf;660.8;2387.4;6.0352797542;2.5626563915215064;38.828802618826096;0.07492063492063493;0.21292927980683868;0.08762719247968025;0.10973279380201421;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;beblid;8820.0;5912.6;0.004976328188259297;l2;bf;388.0;2157.2;2.1299463074;0.9773307264583417;11.401482109935676;0.04399092970521542;0.16031347751293595;0.05676988448766422;0.0687876338598394;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;teblid;8820.0;5912.6;0.0027546450847616435;l2;bf;203.4;2355.6;1.3337534765999999;0.5593844856113572;11.129519054755244;0.02306122448979592;0.07868873383461393;0.03025082280589355;0.03555432064650778;nan;nan;nan
sift;8820.0;5912.6;0.0419318966346944;boost;8820.0;5912.6;0.18228993358982176;l2;bf;310.8;2312.4;2.4027634616;1.025611070562816;17.909150618217147;0.03523809523809524;0.11738124317130494;0.04421143603510751;0.05401479991227733;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;sift;4467.0;2871.2;0.0600682667231557;l2;bf;1125.0;1459.0;0.7551699846;0.5740662856527556;1.0987336910769527;0.251846877098724;0.6545156474860577;0.33352780867440146;0.348893713297741;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;akaze;4467.0;2871.2;0.042029789556369844;l2;bf;767.4;1429.8;0.8170173695999999;0.5892086122693565;2.9405578830790495;0.17179314976494292;0.4509931528692893;0.2257951094831617;0.24495749231449376;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;orb;4448.0;2860.8;0.0051203235783018495;l2;bf;193.0;1135.0;0.38972293900000005;0.34348977848464607;5.654972202626925;0.04320573091560331;0.1334042609134405;0.05174409489069496;0.06469196825871569;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;brisk;4467.0;2871.2;0.011155277102917653;l2;bf;407.2;1191.0;0.6073713236;0.5173847544940288;4.4173217463190495;0.09115737631520035;0.2618692304345297;0.10892298947635488;0.13339828651815552;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;kaze;4467.0;2871.2;0.129275457359902;l2;bf;576.6;753.8;0.691550247;1.1915085559905396;3.3573835296636063;0.12907991940899935;0.6059107263124339;0.1642484448990836;0.20568382197989296;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;daisy;4467.0;2871.2;0.06720161149013834;l2;bf;572.0;864.4;1.0609783998;2.369326810872916;17.20245060002577;0.128050145511529;0.30547831593414276;0.13722348115080732;0.16422042325764347;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;freak;4467.0;2871.2;0.009669303865555217;l2;bf;307.2;1031.0;0.5566158158000001;0.5512870395857563;5.094950896089943;0.06877098723975822;0.23333666744357817;0.0833931048188121;0.10505815098529499;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;brief;4467.0;2871.2;0.002812037243017655;l2;bf;130.0;1260.8;0.30426586159999996;0.24191439721308822;4.434461957162755;0.029102305798074768;0.0885238591115466;0.038173923039304544;0.043375015651230406;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;lucid;4467.0;2871.2;0.0041190758693136435;l2;bf;63.0;1386.8;1.1939609845999999;0.8432403104663541;18.96147869186931;0.014103425117528542;0.04677285555257789;0.023828911959582776;0.021495588770004466;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;latch;4467.0;2871.2;0.0014747652586027539;l2;bf;65.4;1639.6;0.1605435694;0.09989115251035496;2.522345617679577;0.014640698455339152;0.04216575973462268;0.02617960954656772;0.021593863396881078;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;vgg;4467.0;2871.2;0.8867766210804007;l2;bf;747.2;1269.0;2.8485282466;2.4548224990569567;16.152299710611;0.16727109917170363;0.4198282619180591;0.19846974084201935;0.23247261228420052;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;beblid;4467.0;2871.2;0.00585344152617451;l2;bf;454.2;1207.0;0.6038538312000001;0.5002140710925995;3.527444026668919;0.10167897918065816;0.3163111567432314;0.13029754258267104;0.15258137575483824;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;teblid;4467.0;2871.2;0.003619328989191871;l2;bf;255.4;1263.6;0.39583210820000003;0.3137643264587816;2.960256675342273;0.057174837698679204;0.17647474255324247;0.07611348014731831;0.08573040993402084;nan;nan;nan
akaze;4467.0;2871.2;0.04059721196699147;boost;4467.0;2871.2;0.19948677124466058;l2;bf;348.6;1178.8;0.9592132;0.8120535396668258;6.244340394097306;0.07803895231699126;0.24772599155350722;0.09967898113680541;0.11766922136398068;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;sift;27150.0;21509.2;0.4355333615068829;l2;bf;2610.0;4399.2;37.6427064024;15.36049808868153;129.1876254633685;0.09613259668508287;0.3767768632434071;0.10133413619933432;0.14690423504584244;nan;nan;nan
orb;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;orb;27150.0;21509.2;0.002695420583228398;l2;bf;1959.0;8129.4;13.390704493000001;1.6368921191070822;19.469146296277657;0.07215469613259669;0.21338021320811323;0.07952407217868464;0.10756309024058057;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;brisk;24713.0;19685.8;0.013190424144234894;l2;bf;2052.8;6738.2;18.742202985400002;2.983709445260099;65.9504062326231;0.07560957642725599;0.21413082573351824;0.07792673421378533;0.11102094677869292;nan;nan;nan
orb;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;daisy;27150.0;21509.2;0.01317155399032568;l2;bf;1954.4;2855.8;39.9507225872;26.758794290493928;243.63394951969764;0.07198526703499078;0.30179632183049787;0.0738009764877681;0.10912311490140887;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;freak;18371.0;15882.2;0.016136820848096457;l2;bf;1335.6;4224.8;12.461256400599998;3.122911255136302;66.55657471109531;0.04919337016574586;0.2144334142770175;0.050670149041513735;0.07957947441230662;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;brief;27150.0;21509.2;0.0020507888799306405;l2;bf;579.4;8024.8;9.0705497086;1.1185623320760862;23.481039500151653;0.02134069981583794;0.06744775142396081;0.024904868869437186;0.03232545604880222;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;lucid;27150.0;21509.2;0.002897400541818738;l2;bf;297.8;7320.8;50.58243668019999;6.891403074407004;174.58601764681262;0.010968692449355433;0.0420479839130108;0.01451565648795849;0.01733965969923987;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;latch;27150.0;21509.2;0.0010543824714844188;l2;bf;337.0;10567.2;1.8360578310000002;0.1711832590269131;5.476187204294568;0.012412523020257828;0.03219016051164418;0.016258649264983036;0.01788021279063994;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;vgg;27150.0;21509.2;0.9195802155542985;l2;bf;741.0;2820.6;28.779909186399998;12.281790543501188;129.344085054304;0.02729281767955801;0.18678125109687918;0.02917995069436365;0.046856295567955855;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;beblid;27150.0;21509.2;0.010334634361500077;l2;bf;3589.0;7256.0;21.6501861244;3.009296061653825;21.455454369324322;0.13219152854511967;0.42118527557123553;0.14771887693838714;0.19941773251815167;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;teblid;27150.0;21509.2;0.0058067421396861;l2;bf;2133.4;7752.2;12.2022436012;1.5647049297061888;16.302927416938836;0.07857826887661142;0.24070916388142183;0.08622257587769286;0.11808972801715759;nan;nan;nan
orb;27150.0;21509.2;0.0017090986285731198;boost;27150.0;21509.2;0.19675289993056957;l2;bf;1014.6;6957.8;16.562321770399997;2.3602119727404496;34.67388886513378;0.03737016574585635;0.12725945482643872;0.041061518694440496;0.057576431877498446;nan;nan;nan
brisk;13793.0;9689.4;0.022235356709950076;sift;13793.0;9689.4;0.11670375094307159;l2;bf;2248.0;3148.0;7.285681477599999;2.485446275850388;5.133822682345334;0.1629812223591677;0.6058798769425027;0.2045980360467783;0.24626666633009503;nan;nan;nan
brisk;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
brisk;13793.0;9689.4;0.022235356709950076;orb;13460.0;9424.6;0.0033403244518307716;l2;bf;401.2;3702.2;3.0860243695999996;0.7949082356995968;16.17528287859311;0.029087218154136157;0.09152059136995933;0.03520561686063347;0.043807938836365044;nan;nan;nan
brisk;13793.0;9689.4;0.022235356709950076;brisk;13793.0;9689.4;0.01076039218344016;l2;bf;1689.0;3907.4;5.197337662600001;1.3170339014434043;7.4161210411280765;0.12245341840063799;0.3693017581958959;0.15416812308680114;0.18141442970388372;nan;nan;nan
brisk;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
