Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;8820.0;5912.6;0.0442383975256682;sift;8820.0;5912.6;0.057567148164538916;l2;bf;1310.8;2626.2;2.771938905;1.0768203947066217;3.5367707562377064;0.14861678004535145;0.43515958528732074;0.19613863509657314;0.2188109013287264;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;brisk;8468.0;5710.2;0.012934518514138927;l2;bf;371.0;1855.8;2.0082474784;1.0931657286305525;28.564212250667282;0.04206349206349207;0.14366122900942233;0.046844636915091754;0.06464880397178784;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;daisy;8820.0;5912.6;0.040914419413223574;l2;bf;722.8;1189.8;3.9574158003999997;5.783540799696742;52.39074969139995;0.08195011337868482;0.275584312364874;0.08834940691827414;0.1188012954946516;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;freak;8200.0;5526.4;0.011550607358204481;l2;bf;272.0;1635.4;1.8859050827999997;1.1564232666942924;26.548185926458814;0.03083900226757369;0.12642326437542215;0.035172329226856876;0.04930107707019003;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;brief;7989.0;5385.6;0.0029275404030439716;l2;bf;157.6;2413.0;1.1864880202;0.4890893627975439;11.500020317696919;0.017868480725623585;0.05966923208352587;0.023623587080300885;0.027360072648411487;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;lucid;8820.0;5912.6;0.003758834950125161;l2;bf;80.0;2265.8;5.127905467000001;2.2404964300407526;64.33558206166582;0.009070294784580499;0.03546658468513381;0.01387508329331657;0.014368858734970253;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;latch;8105.0;5455.2;0.0014749477175446317;l2;bf;93.0;3081.0;0.4921954684000001;0.1601710946689065;5.311349500551743;0.010544217687074831;0.03054960612269892;0.016465557795964304;0.015615168879165614;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;vgg;8820.0;5912.6;0.9255592033491091;l2;bf;660.8;2387.4;6.610754633400001;2.803489925549313;43.08026359172724;0.07492063492063493;0.21292927980683868;0.08762719247968025;0.10973279380201421;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;beblid;8820.0;5912.6;0.006394388199544682;l2;bf;388.0;2157.2;2.0952368846;0.9635589506540134;11.779029486655542;0.04399092970521542;0.16031347751293595;0.05676988448766422;0.0687876338598394;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;teblid;8820.0;5912.6;0.003840589814413855;l2;bf;203.4;2355.6;1.276936937;0.5382419179569566;10.93552613193704;0.02306122448979592;0.07868873383461393;0.03025082280589355;0.03555432064650778;nan;nan;nan
sift;8820.0;5912.6;0.0442383975256682;boost;8820.0;5912.6;0.22631859893132228;l2;bf;310.8;2312.4;2.5964748737999996;1.1120904135753924;19.963385741551768;0.03523809523809524;0.11738124317130494;0.04421143603510751;0.05401479991227733;nan;nan;nan
akaze;4467.0;2871.2;0.05274651757408687;sift;4467.0;2871.2;0.06204470248867686;l2;bf;1125.0;1459.0;0.8136760724000001;0.6300060760991255;1.2358484367681992;0.251846877098724;0.6545156474860577;0.33352780867440146;0.348893713297741;nan;nan;nan
akaze;4467.0;2871.2;0.05274651757408687;akaze;4467.0;2871.2;0.05402528680191573;l2;bf;767.4;1429.8;0.9943988228;0.7188424977615864;3.716335197686198;0.17179314976494292;0.4509931528692893;0.2257951094831617;0.24495749231449376;nan;nan;nan
akaze;4467.0;2871.2;0.05274651757408687;orb;4448.0;2860.8;0.005890052382052476;l2;bf;193.0;1135.0;0.4176795834;0.3685938046304606;5.96617715334569;0.04320573091560331;0.1334042609134405;0.05174409489069496;0.06469196825871569;nan;nan;nan
akaze;4467.0;2871.2;0.05274651757408687;brisk;4467.0;2871.2;0.014760672366091548;l2;bf;407.2;1191.0;0.6436723329999999;0.5495298436586671;4.863700737010834;0.09115737631520035;0.2618692304345297;0.10892298947635488;0.13339828651815552;nan;nan;nan
akaze;4467.0;2871.2;0.05274651757408687;kaze;4467.0;2871.2;0.15660200004085936;l2;bf;576.6;753.8;0.8154321456000002;1.4495379865922888;4.225048819379543;0.12907991940899935;0.6059107263124339;0.1642484448990836;0.20568382197989296;nan;nan;nan
akaze;4467.0;2871.2;0.05274651757408687;daisy;4467.0;2871.2;0.08249910659048201;l2;bf;572.0;864.4;1.1803666872;2.5591868576917682;18.741802480978276;0.128050145511529;0.30547831593414276;0.13722348115080732;0.16422042325764347;nan;nan;nan
akaze;4467.0;2871.2;0.05274651757408687;freak;4467.0;2871.2;0.012367860942456146;l2;bf;307.2;1031.0;0.6350812912;0.6246016313070945;5.712700432418181;0.06877098723975822;0.23333666744357817;0.0833931048188121;0.10505815098529499;nan;nan;nan
akaze;4467.0;2871.2;0.05274651757408687;brief;4467.0;2871.2;0.0034898819214884734;l2;bf;130.0;1260.8;0.4342904477999999;0.3445726927182266;6.148103241691963;0.029102305798074768;0.0885238591115466;0.038173923039304544;0.043375015651230406;nan;nan;nan
akaze;4467.0;2871.2;0.05274651757408687;lucid;4467.0;2871.2;0.005237969836088737;l2;bf;63.0;1386.8;1.3582646872000002;0.96186259008948;21.4394474809024;0.014103425117528542;0.04677285555257789;0.023828911959582776;0.021495588770004466;nan;nan;nan
