Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Reprojection Error;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;2669.0;3792.6;0.058239057768964986;sift;2669.0;3792.6;0.07479158273110915;L2;BF;nan;433.8;1037.6;0.8926790728;0.9117724506379773;12.936237960387293;0.1625327838141626;0.350508887697416;0.1625327838141626;0.2209135598150358
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2669.0;3792.6;0.058239057768964986;brisk;2508.0;3571.0;0.013914383774405284;L2;BF;nan;34.2;774.6;0.5935727185999999;0.7782999606731525;18.489367959155597;0.01281378793555639;0.04352013279026399;0.01281378793555639;0.019749933245333903
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2669.0;3792.6;0.058239057768964986;daisy;2669.0;3792.6;0.05317291105003025;L2;BF;nan;304.0;677.4;1.06367426;1.8656463438866797;17.58165015996231;0.11390033720494568;0.33858593884953625;0.11390033720494568;0.16799184013211915
sift;2669.0;3792.6;0.058239057768964986;freak;2378.0;3374.2;0.012061141430699718;L2;BF;nan;29.8;711.2;0.5530235515999999;0.7858760017390507;19.167217136779705;0.011165230423379543;0.04168016090723896;0.011165230423379543;0.01758676422623859
sift;2669.0;3792.6;0.058239057768964986;brief;2297.0;3279.2;0.0027245876212391605;L2;BF;nan;35.8;1021.8;0.4027780838;0.39410402693502694;11.31874317448581;0.013413263394529787;0.03504392940459326;0.013413263394529787;0.01938909018513904
sift;2669.0;3792.6;0.058239057768964986;lucid;2669.0;3792.6;0.005640132855860569;L2;BF;nan;70.4;998.2;1.1970042184;1.2023397347929854;26.4548528796766;0.026376920194829522;0.06942054980042445;0.026376920194829522;0.03822060993139327
sift;2669.0;3792.6;0.058239057768964986;latch;2350.0;3339.2;0.001632266624735723;L2;BF;nan;48.6;1336.2;0.279966;0.2099308295027223;6.071683803497847;0.01820906706631697;0.036179062696259326;0.01820906706631697;0.024201774015119432
sift;2669.0;3792.6;0.058239057768964986;vgg;2669.0;3792.6;0.9390293621478888;L2;BF;nan;337.8;1060.8;3.9528769776;3.8796238564168535;56.10318902334656;0.1265642562757587;0.2771727919576187;0.1265642562757587;0.17322753172537383
sift;2669.0;3792.6;0.058239057768964986;beblid;2669.0;3792.6;0.0071743197504241145;L2;BF;nan;177.4;966.6;0.6056605102000001;0.6307654398385544;13.455983374889204;0.06646684151367555;0.17047227547480825;0.06646684151367555;0.09554180047426898
sift;2669.0;3792.6;0.058239057768964986;teblid;2669.0;3792.6;0.00403406680081133;L2;BF;nan;106.6;1084.8;0.4397068852;0.4060229292026188;10.297242812224638;0.03994005245410266;0.0947760740073579;0.03994005245410266;0.056178679575440246
sift;2669.0;3792.6;0.058239057768964986;boost;2669.0;3792.6;0.207790712916138;L2;BF;nan;186.2;990.0;1.2128785728;1.2424952926074877;27.646636386535306;0.06976395653802922;0.1694645089582564;0.06976395653802922;0.09868907294726581
akaze;2419.0;2579.8;0.049171076412101236;sift;2419.0;2579.8;0.07049074743059107;L2;BF;nan;529.2;882.2;0.541879708;0.6890846973916717;6.341470907136208;0.2187680859859446;0.4682042541843969;0.2189432686300717;0.29395101127253137
akaze;2419.0;2579.8;0.049171076412101236;akaze;2419.0;2579.8;0.05086263956111542;L2;BF;nan;305.4;930.4;0.6103753952;0.6713024230540727;9.537366235295812;0.12625051674245558;0.2742821322117317;0.1264747505269383;0.1721093991780279
akaze;2419.0;2579.8;0.049171076412101236;orb;2407.0;2563.4;0.0055697601405340965;L2;BF;nan;32.8;794.4;0.27572944759999996;0.35029751819081645;8.66541500098943;0.013559322033898305;0.041212707467986276;0.013790563124146102;0.02035478984575987
akaze;2419.0;2579.8;0.049171076412101236;brisk;2419.0;2579.8;0.015283571108968785;L2;BF;nan;228.8;737.0;0.4009215621999999;0.561224859954949;8.644877456603018;0.09458453906572964;0.2505318492797649;0.09476672901562186;0.1365577023482745
akaze;2419.0;2579.8;0.049171076412101236;kaze;2419.0;2579.8;0.14787928804907544;L2;BF;nan;383.2;582.2;0.6329356352000001;1.4143573105714211;12.314790237543761;0.15841256717651925;0.4824012921895496;0.158559720597586;0.2337840971578838
akaze;2419.0;2579.8;0.049171076412101236;daisy;2419.0;2579.8;0.07623618271831886;L2;BF;nan;375.6;692.6;0.7256986972;1.3091241733546586;12.132585955140422;0.1552707730467135;0.3888569772628658;0.15541091916201522;0.2169080715943565
akaze;2419.0;2579.8;0.049171076412101236;freak;2419.0;2579.8;0.013327085545834805;L2;BF;nan;192.4;729.4;0.3961111452;0.5550556444695907;7.877332016541402;0.07953699875981812;0.2205406112252896;0.079775247155831;0.11639941083557581
akaze;2419.0;2579.8;0.049171076412101236;brief;2419.0;2579.8;0.0036881813774335263;L2;BF;nan;88.6;876.6;0.281937427;0.3220641733839769;6.583957423791816;0.03662670525010335;0.09580432621938992;0.0368789682576464;0.05295415166068192
akaze;2419.0;2579.8;0.049171076412101236;lucid;2419.0;2579.8;0.006382631057503462;L2;BF;nan;71.2;955.6;0.7381211138000001;0.776691916757337;14.87516618433549;0.029433650268706073;0.0705177388444228;0.029685913276249126;0.041427515107043435
