Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;2669.0;3792.6;0.05733947011370892;sift;2669.0;3792.6;0.0732715556345173;l2;bf;433.8;1037.6;0.8764174788000002;0.896084411795529;12.769540498006808;0.1625327838141626;0.350508887697416;0.1625327838141626;0.2209135598150358;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;brisk;2508.0;3571.0;0.013312329928535463;l2;bf;144.0;774.6;0.5884085;0.7718964830209037;16.35323252889957;0.05395279130760585;0.159369404609213;0.05395279130760585;0.08046271150035224;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;daisy;2669.0;3792.6;0.05335508455844644;l2;bf;304.0;677.4;1.0727895624;1.8880281334658533;17.77302617655457;0.11390033720494568;0.33858593884953625;0.11390033720494568;0.16799184013211915;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;freak;2378.0;3374.2;0.01210002122929044;l2;bf;119.0;711.2;0.5501030938;0.7818235771145792;17.554734026768323;0.0445859872611465;0.14802331634344984;0.0445859872611465;0.06844665672500204;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;brief;2297.0;3279.2;0.002799998719585272;l2;bf;76.4;1021.8;0.4002684792;0.3915759668519959;8.965854736052083;0.028624953165979766;0.07567270906454028;0.028624953165979766;0.041522438769646196;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;lucid;2669.0;3792.6;0.005582030977485721;l2;bf;70.4;998.2;1.1891227388;1.194580817493661;26.375839836340084;0.026376920194829522;0.06942054980042445;0.026376920194829522;0.03822060993139327;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;latch;2350.0;3339.2;0.0016824173430508432;l2;bf;43.4;1336.2;0.2749544478;0.20611327138649277;6.419956986807281;0.01626077182465343;0.03242040044124504;0.01626077182465343;0.021638384769284286;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;vgg;2669.0;3792.6;0.9402178856487431;l2;bf;337.8;1060.8;3.9525862898;3.8802462899892056;56.12860126262134;0.1265642562757587;0.2771727919576187;0.1265642562757587;0.17322753172537383;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;beblid;2669.0;3792.6;0.0074999199426388635;l2;bf;177.4;966.6;0.6025753022;0.6277239995104695;13.43469639301124;0.06646684151367555;0.17047227547480825;0.06646684151367555;0.09554180047426898;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;teblid;2669.0;3792.6;0.004315004617317502;l2;bf;106.6;1084.8;0.4359985728;0.4026507165068353;10.244448657038335;0.03994005245410266;0.0947760740073579;0.03994005245410266;0.056178679575440246;nan;nan;nan
sift;2669.0;3792.6;0.05733947011370892;boost;2669.0;3792.6;0.20969015933324112;l2;bf;186.2;990.0;1.2144611142;1.2445404012871022;27.696796616432415;0.06976395653802922;0.1694645089582564;0.06976395653802922;0.09868907294726581;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;sift;2419.0;2579.8;0.06733372400991752;l2;bf;529.2;882.2;0.5284201458;0.6718774648110143;6.2065656111477345;0.2187680859859446;0.4682042541843969;0.2189432686300717;0.29395101127253137;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;akaze;2419.0;2579.8;0.05077724891275549;l2;bf;305.4;930.4;0.5997051771999999;0.6591135493660051;9.33560227715497;0.12625051674245558;0.2742821322117317;0.1264747505269383;0.1721093991780279;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;orb;2407.0;2563.4;0.0056416868526802675;l2;bf;123.6;794.4;0.2694894582;0.3417324988427789;7.0371614144011545;0.05109549400578752;0.13734914876103171;0.05129169856720989;0.07435133091421589;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;brisk;2419.0;2579.8;0.015120521355195971;l2;bf;228.8;737.0;0.3950863438;0.5530112793685275;8.471685002158415;0.09458453906572964;0.2505318492797649;0.09476672901562186;0.1365577023482745;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;kaze;2419.0;2579.8;0.14512903222600942;l2;bf;383.2;582.2;0.625155271;1.3866679194045806;11.937263401570362;0.15841256717651925;0.4824012921895496;0.158559720597586;0.2337840971578838;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;daisy;2419.0;2579.8;0.07711218443314355;l2;bf;375.6;692.6;0.7221041457999999;1.3018452521943789;12.10385231286508;0.1552707730467135;0.3888569772628658;0.15541091916201522;0.2169080715943565;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;freak;2419.0;2579.8;0.013020351920649759;l2;bf;192.4;729.4;0.39328325020000005;0.5506438562784888;7.743468118245109;0.07953699875981812;0.2205406112252896;0.079775247155831;0.11639941083557581;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;brief;2419.0;2579.8;0.0038845321642601944;l2;bf;88.6;876.6;0.27940207300000003;0.3190681535199783;6.519956448041546;0.03662670525010335;0.09580432621938992;0.0368789682576464;0.05295415166068192;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;lucid;2419.0;2579.8;0.006408119466877286;l2;bf;71.2;955.6;0.7315246044;0.7695744581398115;14.744229343000336;0.029433650268706073;0.0705177388444228;0.029685913276249126;0.041427515107043435;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;latch;2419.0;2579.8;0.0017860396649227294;l2;bf;43.8;1189.4;0.17346176019999998;0.1460620827310911;3.983820975466201;0.018106655642827617;0.03675966877318292;0.01837994056766592;0.02425084091286182;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;vgg;2419.0;2579.8;0.9584084667359214;l2;bf;512.8;948.4;2.7030843742;3.058411889550091;27.508137047925914;0.21198842496899545;0.43710592281505356;0.2121846295304178;0.28249510012941276;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;beblid;2419.0;2579.8;0.007428803418148139;l2;bf;255.4;824.0;0.37299216620000003;0.46425908617251865;7.006763966809812;0.10558081852004961;0.2519179693538143;0.1057630084699418;0.14796981799996328;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;teblid;2419.0;2579.8;0.004626115671281921;l2;bf;161.8;893.6;0.2666156362;0.30077233178422547;5.6267182691241;0.06688714344770566;0.16159864821668224;0.06711137723218838;0.0944332453098696;nan;nan;nan
akaze;2419.0;2579.8;0.04751010379431986;boost;2419.0;2579.8;0.21700384569009631;l2;bf;238.0;820.0;0.8105987294;1.0172585785318997;17.69078255043228;0.09838776353865233;0.23717883178246094;0.09859097540583979;0.13847177451445833;nan;nan;nan
orb;7972.0;12275.2;0.002367973581246721;sift;7972.0;12275.2;0.4414878119323736;l2;bf;732.6;1483.2;9.661557433999999;9.500047743295443;125.64908546283463;0.09189663823381836;0.33719008452419;0.09189663823381836;0.1414249459164001;nan;nan;nan
orb;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;7972.0;12275.2;0.002367973581246721;orb;7972.0;12275.2;0.0029602707607134454;l2;bf;565.4;3184.4;1.9490433111999999;0.6125811149140995;13.835392511839922;0.07092323130958353;0.17116750954545557;0.07092323130958353;0.1002510778666861;nan;nan;nan
