Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;2072.0;2060.5;0.14491392220600757;sift;2072.0;2060.5;0.13931517280904018;l2;bf;1879.5;1883.25;0.7345328707500001;0.39578735419114386;0.3967722233049646;0.9070945945945945;0.9978442471394596;0.9598124614473786;0.9460036171017339;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;brisk;1920.0;1909.375;0.014788939076308981;l2;bf;798.375;1466.75;0.471735234375;0.327163626060083;0.6459602443116805;0.3853161196911197;0.5410379682310498;0.4049904112109382;0.4481355012731735;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;daisy;2072.0;2060.5;0.13871629499935528;l2;bf;1262.375;1486.125;2.2156188597499997;1.4707762212535962;0.6171915100871408;0.6092543436293436;0.8478989633177736;0.6324212218860303;0.6954967149056126;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;freak;1832.0;1822.375;0.013347021390504577;l2;bf;648.625;1375.75;0.45446469975;0.33744208184451435;0.824627910872364;0.31304295366795365;0.4644779344460015;0.32671408583255723;0.37232927180639075;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;brief;1773.0;1765.625;0.0046952871166900945;l2;bf;671.625;1562.0;0.39088988225;0.2558307137081808;0.6927765034061497;0.32414333976833976;0.4257390848367218;0.3402911520902516;0.36625156040385215;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;lucid;2072.0;2060.5;0.007463781378408553;l2;bf;30.125;577.375;0.70490889275;1.2616959255186324;24.968520755776943;0.014539092664092665;0.05226425110766377;0.015469128486089999;0.022595833366104982;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;latch;1808.0;1798.0;0.002834162372113545;l2;bf;725.625;1462.625;0.333516673;0.2361515425981414;0.5292315367348159;0.3502051158301158;0.4906479262281472;0.3665501941239747;0.4057843315309224;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;vgg;2072.0;2060.5;0.9229135850268817;l2;bf;1872.375;1878.625;2.269103488625;1.2145667490379015;1.2201562407949083;0.903655888030888;0.9960040488664481;0.9553610523924974;0.9431073352511279;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;beblid;2072.0;2060.5;0.008431315328083982;l2;bf;1869.875;1874.875;0.46455930300000003;0.25157606048192777;0.25242857001468755;0.9024493243243243;0.9970638175780198;0.9548539938256665;0.9430584406400995;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;teblid;2072.0;2060.5;0.005968244545017893;l2;bf;1835.625;1846.375;0.399269010125;0.22061547470603812;0.22232536542602005;0.8859194015444016;0.9934634234204172;0.9364936480124573;0.9317402141991464;nan;nan;nan
sift;2072.0;2060.5;0.14491392220600757;boost;2072.0;2060.5;0.20033730552548523;l2;bf;1816.375;1835.875;0.79606613275;0.4405846410259975;0.44779963499104636;0.876628861003861;0.9867614124756121;0.924389779996176;0.9231097433458431;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;sift;1288.0;1288.625;0.10687875504836367;l2;bf;1177.875;1178.125;0.374348626;0.32737545382766986;0.32743916011220453;0.9144992236024845;0.9998033730453286;0.9928743519743986;0.9465910337105412;nan;nan;nan
akaze;1288.0;1292.6666666666667;0.13629080141144348;akaze;1288.0;1292.6666666666667;0.1306027941079536;l2;bf;1247.6666666666667;1247.8333333333333;0.4370484721666667;0.3516446356882059;0.35168399492458596;0.9686853002070394;0.9998693834900733;0.9940471712166294;0.9831583020625266;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;orb;1276.0;1277.25;0.013679425965357837;l2;bf;466.375;1138.5;0.248727747;0.22736583852891903;0.6706828826540243;0.3620923913043478;0.40118561552114257;0.38572059695851557;0.3778506917458059;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;brisk;1288.0;1288.625;0.017551344102674615;l2;bf;1179.25;1179.625;0.274111152;0.23978510112549498;0.2399039658177503;0.9155667701863355;0.9996139116865791;0.9946463334671919;0.9473666657027418;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;kaze;1288.0;1288.625;0.40748105967098835;l2;bf;980.375;980.5;0.711982870625;0.7575258854946724;0.7576158131671;0.7611607142857143;0.9998811787072244;0.8266163499560089;0.8568742393664346;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;daisy;1288.0;1288.625;0.230027599275471;l2;bf;1096.625;1105.25;0.559673535125;0.5881509627157991;0.6269777296221803;0.8514169254658385;0.9767651589655844;0.896061680305706;0.8908594484090395;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;freak;1288.0;1288.625;0.014579595087426135;l2;bf;1151.625;1154.125;0.27051120412499996;0.24270756138094357;0.2434613768614451;0.8941187888198758;0.997485462034662;0.9686762312007551;0.9335944127128949;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;brief;1288.0;1288.625;0.005929576068312906;l2;bf;1125.0;1129.75;0.236989557375;0.21839327112901377;0.21962100079927654;0.8734472049689441;0.9953747502428237;0.9482866244303031;0.9216510608315194;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;lucid;1288.0;1288.625;0.009987552924448896;l2;bf;28.125;398.0;0.354423769375;0.9217726791031942;13.597127047005108;0.021836180124223604;0.07233028696273;0.023917907242058216;0.03326320308252566;nan;nan;nan
akaze;1288.0;1288.5714285714287;0.14966101701508722;latch;1288.0;1288.5714285714287;0.003849676688114969;l2;bf;962.4285714285714;1007.1428571428571;0.20361198657142857;0.21274913263342857;0.2272124488736708;0.7472271517302573;0.9498878056687434;0.8203868407043832;0.8278583124555785;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;vgg;1288.0;1288.625;0.9535232512567047;l2;bf;1178.875;1179.0;1.4363471672500001;1.22304724896403;1.2232115281248621;0.9152756211180124;0.9999010292953285;0.9937017370368073;0.9470547412273151;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;beblid;1288.0;1288.625;0.01037243779178506;l2;bf;1172.375;1172.75;0.25793177087499997;0.22762998292724373;0.22774679082325514;0.9102290372670807;0.9995945334979985;0.9883891171230681;0.9442670412993294;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;teblid;1288.0;1288.625;0.007223904492941448;l2;bf;1164.375;1165.875;0.23032633462500002;0.20515102102597302;0.20550073409958688;0.9040178571428572;0.998573635571036;0.9812336845054301;0.9402248328825693;nan;nan;nan
akaze;1288.0;1288.625;0.1479644216958041;boost;1288.0;1288.625;0.21838882834126216;l2;bf;1158.125;1160.375;0.49863981725000006;0.438230184974182;0.43971853044143305;0.8991653726708074;0.9973857007083484;0.9744723180714221;0.9366739257645209;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;sift;5253.0;5270.75;0.45688762511244696;l2;bf;2907.25;4741.25;10.236456109374998;2.147786561546086;0.4985011949754097;0.553445650104702;0.6230870015802432;0.6057719684119026;0.5802272635432135;nan;nan;nan
orb;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;orb;5253.0;5270.75;0.005584178961675809;l2;bf;4719.5;4728.75;0.600941556;0.12756846904235536;0.12790656769533376;0.8984389872453835;0.997819966580916;0.9700644207775255;0.938479122842968;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;brisk;4074.0;4110.0;0.017422794620880516;l2;bf;787.0;3662.25;0.6912849221249999;0.18893416400743251;1.9107876305726865;0.14981915096135542;0.20422239450898055;0.15541972735193949;0.17200637369563732;nan;nan;nan
orb;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;5253.0;5388.857142857143;0.003943551275141832;daisy;5253.0;5388.857142857143;0.05877334037109932;l2;bf;4150.285714285715;4175.285714285715;2.6688795674285717;0.7806635092150433;0.8291950725546157;0.7900791384514971;0.9740094199135557;0.8063134298884588;0.8386833391997988;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;freak;3309.0;3343.875;0.016180227263796552;l2;bf;995.125;2825.0;0.47749645825;0.17121565089004215;0.639954575224435;0.18943936798020178;0.3396838742898237;0.1990617199347705;0.24089864046212398;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;brief;5253.0;5270.75;0.003005958930761034;l2;bf;4502.625;4527.5;0.63493813125;0.14158124635824174;0.14277192288389293;0.857153055396916;0.9937886877110307;0.9259214510646171;0.9132948910708016;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;lucid;5253.0;5270.75;0.005918249488414821;l2;bf;123.625;1223.75;2.54666024;2.144353154222543;26.307629890258475;0.02353417094993337;0.09700331804052154;0.02522246189949579;0.037535722881682665;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;latch;5253.0;5270.75;0.001549275478659937;l2;bf;3699.5;3940.5;0.1910595575;0.049228533606054906;0.05440958460472503;0.7042642299638302;0.9305209242736197;0.757093347725385;0.7948106368637486;nan;nan;nan
orb;5253.0;5276.0;0.004067470080085267;vgg;5253.0;5276.0;1.0089728849236401;l2;bf;3551.285714285714;4320.428571428572;8.922312146714285;2.056999622506911;1.3144716764249051;0.6760490604008593;0.8354074111971227;0.7291383382079479;0.7292899990983749;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;beblid;5253.0;5270.75;0.013607598983819493;l2;bf;4107.125;4746.0;2.1293330331250004;0.43387814758708687;0.2260417443384312;0.7818627450980393;0.8740364362780584;0.8543563426764316;0.8186934198752958;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;teblid;5253.0;5270.75;0.007856463918360687;l2;bf;4037.625;4676.625;3.2425059365;0.6533281166847528;0.11423425625061873;0.7686322101656197;0.8728583786285082;0.8375043742776143;0.8101438426201584;nan;nan;nan
orb;5253.0;5270.75;0.004031613722634791;boost;5253.0;5270.75;0.2158952396183907;l2;bf;4580.25;4601.5;1.6976910410000001;0.37111273878649964;0.3735494771413211;0.8719303255282695;0.9948089863159508;0.9416079019687016;0.9221145350558655;nan;nan;nan
brisk;2314.0;2283.75;0.04659748083595241;sift;2314.0;2283.75;0.13168087244511467;l2;bf;2099.875;2101.125;0.59796266275;0.28655774735439365;0.2867769994056905;0.9074654278305964;0.999364060975643;0.9769674728104707;0.9452192735673421;nan;nan;nan
brisk;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
brisk;2314.0;2283.75;0.04659748083595241;orb;2067.0;2045.75;0.01114174285025475;l2;bf;607.5;1843.25;0.23110642587500002;0.12711382584177905;0.5154850705601077;0.26253241140881595;0.3249200976906724;0.279868608722815;0.28853744941867454;nan;nan;nan
brisk;2314.0;2283.75;0.04659748083595241;brisk;2314.0;2283.75;0.017333695138591093;l2;bf;2092.25;2094.125;0.34590396475;0.1663231892302758;0.166529977345527;0.9041702679343129;0.9990102200329295;0.9730029821132333;0.9430925634827669;nan;nan;nan
brisk;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
brisk;2314.0;2326.4285714285716;0.04614637881791466;daisy;2314.0;2326.4285714285716;0.12501272409399372;l2;bf;1899.4285714285713;1914.5714285714287;0.7310797842857143;0.47892064816534946;0.5178925522891574;0.8208420792690455;0.9719760827954327;0.8399727965076137;0.8616371836504035;nan;nan;nan
brisk;2314.0;2283.75;0.04659748083595241;freak;1825.0;1808.0;0.01529494475534533;l2;bf;579.625;1626.875;0.2693387695;0.16730918095902203;0.5959776417300127;0.2504861711322386;0.3524123220684317;0.2671892886444276;0.2907991672629511;nan;nan;nan
brisk;2314.0;2283.75;0.04659748083595241;brief;2130.0;2106.25;0.004461610779373745;l2;bf;620.5;1809.0;0.23123367150000002;0.13016112028447108;0.49655101872964347;0.2681503889369058;0.34063210498220303;0.28703402711018655;0.29778977080807945;nan;nan;nan
brisk;2314.0;2283.75;0.04659748083595241;lucid;2314.0;2283.75;0.007519501303633869;l2;bf;65.375;661.0;0.6116920765;0.9654881673321586;9.842868882473375;0.028251944684528955;0.09963349182340907;0.030355229744649555;0.0435387446316914;nan;nan;nan
brisk;2314.0;2283.75;0.04659748083595241;latch;2183.0;2157.625;0.002354952848056653;l2;bf;538.5;1650.25;0.152328366;0.09487161789682323;0.4282054254113173;0.23271391529818497;0.3248974501490939;0.24881615492313508;0.2688920743474447;nan;nan;nan
brisk;2314.0;2326.4285714285716;0.04614637881791466;vgg;2314.0;2326.4285714285716;0.9632952710066416;l2;bf;2073.0;2078.0;2.436368474142857;1.1893627725988107;1.1941727667926465;0.8958513396715644;0.996687016637671;0.9476045085497168;0.9339676245086074;nan;nan;nan
