Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Reprojection Error;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;2492.0;1629.8;0.1344385875891266;sift;2492.0;1629.8;0.132654221060934;L2;BF;nan;803.8;960.6;0.5771720518000001;0.6293012270921382;0.7820716441707102;0.3225521669341894;0.8218013243705304;0.48163204700217455;0.45782285388860977
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2492.0;1629.8;0.1344385875891266;brisk;2315.0;1501.0;0.015016467104161055;L2;BF;nan;269.8;772.8;0.378559385;0.5097212326682035;1.8196336100178094;0.10826645264847512;0.3261726421643209;0.15493385879914456;0.16099256188189967
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2492.0;1629.8;0.1344385875891266;daisy;2492.0;1629.8;0.12189830728834065;L2;BF;nan;339.8;478.0;0.6611870522000001;1.760116682792558;3.5446734214252316;0.13635634028892457;0.6085468277041036;0.18510822232588187;0.21410313938996475
sift;2492.0;1629.8;0.1344385875891266;freak;2199.0;1387.2;0.013611759920224651;L2;BF;nan;146.8;638.2;0.3563347916;0.5850059442158486;4.199175064492591;0.05890850722311396;0.20298075614820257;0.08075473141531159;0.09054382900385925
sift;2492.0;1629.8;0.1344385875891266;brief;2110.0;1323.0;0.004762838832498295;L2;BF;nan;84.2;724.6;0.29447566680000004;0.41639055516354;4.853485377570533;0.03378812199036919;0.10792966767371144;0.0477682670634555;0.05120761861298341
sift;2492.0;1629.8;0.1344385875891266;lucid;2492.0;1629.8;0.007464043893155066;L2;BF;nan;26.0;421.2;0.6144858016;1.5169905335092044;24.229350228050897;0.01043338683788122;0.06280183893802495;0.015970035853375312;0.01772517273981016
sift;2492.0;1629.8;0.1344385875891266;latch;2165.0;1357.2;0.0025414758643612684;L2;BF;nan;34.4;827.8;0.24396493699999997;0.300362149208106;7.107512588567792;0.013804173354735152;0.04217878020132013;0.02178076270260817;0.020712154982629804
sift;2492.0;1629.8;0.1344385875891266;vgg;2492.0;1629.8;0.9365914335490739;L2;BF;nan;612.6;879.6;1.8168743323999998;2.163869670834109;3.9452484516795367;0.24582664526484752;0.6364198421564267;0.34748295919475136;0.348740951467687
sift;2492.0;1629.8;0.1344385875891266;beblid;2492.0;1629.8;0.009155958287593085;L2;BF;nan;456.6;775.6;0.391628197;0.5161621012187426;0.9845041966603262;0.1832263242375602;0.5651439420512969;0.2688012095227215;0.27491171037377904
sift;2492.0;1629.8;0.1344385875891266;teblid;2492.0;1629.8;0.00627845992401013;L2;BF;nan;248.8;736.4;0.3244594792;0.4500437481962985;1.6179526662973678;0.0998394863563403;0.31832802050020015;0.14393866710537914;0.1510759122788607
sift;2492.0;1629.8;0.1344385875891266;boost;2492.0;1629.8;0.21120962501395177;L2;BF;nan;443.2;798.8;0.6525374791999999;0.8376169064801016;1.7564684050214825;0.17784911717495988;0.5234419527384121;0.2571021312731134;0.2629366511638386
akaze;1507.0;743.8;0.18813501767284674;sift;1507.0;743.8;0.12379290040634805;L2;BF;nan;569.6;597.0;0.256853812;0.47810996256595006;0.5122218082386316;0.3779694757796948;0.943419459760506;0.7486335810439539;0.5261941085562423
akaze;1507.0;743.8;0.18813501767284674;akaze;1507.0;743.8;0.18182173367981186;L2;BF;nan;529.4;575.0;0.316380333;0.609434502820477;0.6918185969312428;0.35129396151293957;0.902033186045449;0.6929716654642142;0.49430100174902136
akaze;1507.0;743.8;0.18813501767284674;orb;1500.0;736.2;0.01706216712597287;L2;BF;nan;206.8;469.6;0.1737724376;0.4155950594439477;1.2401372567655748;0.13722627737226276;0.40022027992823855;0.25253176644068853;0.20008301942329018
akaze;1507.0;743.8;0.18813501767284674;brisk;1507.0;743.8;0.019399569387420067;L2;BF;nan;465.8;526.0;0.1957050104;0.4171919049823156;0.5044577702978853;0.30909090909090914;0.8571081843265294;0.5978985941701124;0.4424507891419901
akaze;1507.0;743.8;0.18813501767284674;kaze;1507.0;743.8;0.49853530213475894;L2;BF;nan;422.8;437.6;0.4899911666;1.2540087949995697;1.3255247293156553;0.28055739880557395;0.9566543735270612;0.5600984973401965;0.4256564125707965
akaze;1507.0;743.8;0.18813501767284674;daisy;1507.0;743.8;0.28066432586796336;L2;BF;nan;344.8;411.8;0.3871434164;1.2056558544299256;1.7971698769753932;0.22879893828798936;0.7596899340359959;0.40984285833696255;0.33572223987756833
akaze;1507.0;743.8;0.18813501767284674;freak;1507.0;743.8;0.015755968657566698;L2;BF;nan;353.0;439.8;0.1904172394;0.4893439272178842;0.6947198885853746;0.23424021234240217;0.7601080612146186;0.4447652901547256;0.34958621236467324
akaze;1507.0;743.8;0.18813501767284674;brief;1507.0;743.8;0.00692869159010775;L2;BF;nan;272.8;432.8;0.1705079378;0.4317381273778949;0.7939167008817103;0.181021897810219;0.596047733908118;0.34728091722018695;0.2735251752276778
akaze;1507.0;743.8;0.18813501767284674;lucid;1507.0;743.8;0.011892891706724577;L2;BF;nan;21.8;297.0;0.2542174684;0.9085780093915137;12.005376644328845;0.014465826144658262;0.07624934623614635;0.03051918556987419;0.024004128184805913
akaze;1507.0;743.8;0.18813501767284674;latch;1507.0;743.8;0.004428386322593488;L2;BF;nan;116.0;479.6;0.1442913854;0.3174736879499135;1.7819792830579537;0.07697412076974121;0.2246679478843409;0.1446559823630304;0.11375777509296765
akaze;1507.0;743.8;0.18813501767284674;vgg;1507.0;743.8;0.9768669889086009;L2;BF;nan;514.8;566.2;0.8748253433999998;1.6366633092202303;1.9323163142537407;0.3416058394160584;0.8728018157283455;0.652967335346704;0.4766389246783387
akaze;1507.0;743.8;0.18813501767284674;beblid;1507.0;743.8;0.011249122974075142;L2;BF;nan;485.2;543.8;0.1839567076;0.3807240009392163;0.4497996273388831;0.3219641672196417;0.8699564292708436;0.6284524968251568;0.45822011206865587
