Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;2492.0;1629.8;0.12880796711166828;sift;2492.0;1629.8;0.12644479627525881;l2;bf;803.8;960.6;0.5515181144000001;0.598919529233278;0.7434312058423886;0.3225521669341894;0.8218013243705304;0.48163204700217455;0.45782285388860977;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;brisk;2315.0;1501.0;0.014903734510849503;l2;bf;388.6;772.8;0.367525062;0.4927721224012183;1.3007420815594917;0.15593900481540932;0.4575124095395795;0.21907214420183543;0.23008324033314959;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;daisy;2492.0;1629.8;0.12367396132978306;l2;bf;339.8;478.0;0.6571771972;1.7474845811744892;3.5170220717076575;0.13635634028892457;0.6085468277041036;0.18510822232588187;0.21410313938996475;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;freak;2199.0;1387.2;0.013607870307842962;l2;bf;245.8;638.2;0.34560587460000003;0.5674236406809984;2.750531582443327;0.09863563402889246;0.3271076688590965;0.13200060714817233;0.1501878428897364;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;brief;2110.0;1323.0;0.004734127350363085;l2;bf;167.8;724.6;0.28706035399999996;0.40325937869869755;4.760467464247065;0.0673354735152488;0.19684852747815057;0.08682460005667804;0.09996098530234779;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;lucid;2492.0;1629.8;0.007373181497640419;l2;bf;26.0;421.2;0.6052924263999999;1.49390295882829;23.851596776604975;0.01043338683788122;0.06280183893802495;0.015970035853375312;0.01772517273981016;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;latch;2165.0;1357.2;0.002845696451323657;l2;bf;77.4;827.8;0.236191656;0.2897743919467162;5.806677162667061;0.0310593900481541;0.08443734575228155;0.0422227608090033;0.045211243545271;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;vgg;2492.0;1629.8;0.9307466406664862;l2;bf;612.6;879.6;1.7969191972;2.1383788064954543;3.8976710245032278;0.24582664526484752;0.6364198421564267;0.34748295919475136;0.348740951467687;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;beblid;2492.0;1629.8;0.00919291835608672;l2;bf;456.6;775.6;0.3815920828;0.5020773836375068;0.9558730906150664;0.1832263242375602;0.5651439420512969;0.2688012095227215;0.27491171037377904;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;teblid;2492.0;1629.8;0.005752112869651991;l2;bf;248.8;736.4;0.31134316679999996;0.4311860893528823;1.5458162744405863;0.0998394863563403;0.31832802050020015;0.14393866710537914;0.1510759122788607;nan;nan;nan
sift;2492.0;1629.8;0.12880796711166828;boost;2492.0;1629.8;0.2100091168431885;l2;bf;443.2;798.8;0.6409185206;0.8212036549597059;1.7186427837908576;0.17784911717495988;0.5234419527384121;0.2571021312731134;0.2629366511638386;nan;nan;nan
akaze;1507.0;743.8;0.18225038402510613;sift;1507.0;743.8;0.11672791686854848;l2;bf;569.6;597.0;0.2490149068;0.45883537268293867;0.49107056967946605;0.3779694757796948;0.943419459760506;0.7486335810439539;0.5261941085562423;nan;nan;nan
akaze;1507.0;743.8;0.18225038402510613;akaze;1507.0;743.8;0.17381359412102135;l2;bf;529.4;575.0;0.3079295004;0.5879246940484676;0.6661281321819518;0.35129396151293957;0.902033186045449;0.6929716654642142;0.49430100174902136;nan;nan;nan
akaze;1507.0;743.8;0.18225038402510613;orb;1500.0;736.2;0.016337363346010263;l2;bf;307.0;469.6;0.17016666680000003;0.4028594529684553;0.7742657022311622;0.20371599203715993;0.5940728291803141;0.3751690842116357;0.29646424343892175;nan;nan;nan
