Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;2072.0;2146.5;0.1400899351118605;sift;2072.0;2146.5;0.12291337285999164;l2;bf;1400.3333333333333;1464.0;0.5877806283333334;0.4159372045965109;0.4383971455435301;0.6758365508365508;0.9540700486331382;0.6758365508365508;0.7881754014433846
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2146.5;0.1400899351118605;brisk;1920.0;2109.1666666666665;0.009711285344031923;l2;bf;646.5;1177.8333333333333;0.3581562141666667;0.30935009009445996;0.6046827380901485;0.3120173745173745;0.5481041547311607;0.3120173745173745;0.3971646403688407
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2146.5;0.1400899351118605;daisy;2072.0;2146.5;0.1036134630917928;l2;bf;281.0;513.3333333333334;0.5517044225000001;1.314524798725221;11.686861141437271;0.13561776061776062;0.35078342577861094;0.13561776061776062;0.18831585873068898
sift;2072.0;2146.5;0.1400899351118605;freak;1832.0;2081.6666666666665;0.006473888324968758;l2;bf;417.1666666666667;922.6666666666666;0.348182849;0.3812279379857782;0.9684696457563223;0.20133526383526387;0.4459473199824376;0.20133526383526387;0.277188806727726
sift;2072.0;2146.5;0.1400899351118605;brief;1773.0;2064.6666666666665;0.002792292845642608;l2;bf;297.6666666666667;1010.0;0.32540430866666664;0.3353691038204374;1.5805880318771734;0.14366151866151866;0.28832101573213076;0.14366151866151866;0.19097156317003106
sift;2072.0;2146.5;0.1400899351118605;lucid;2072.0;2146.5;0.004781794880613657;l2;bf;772.6666666666666;1039.1666666666667;0.3709726361666667;0.3676438969698301;0.5287093997116691;0.3729086229086229;0.7322890521178805;0.3729086229086229;0.49275180461509943
sift;2072.0;2146.5;0.1400899351118605;latch;1808.0;2077.1666666666665;0.0014558379011228506;l2;bf;132.83333333333334;1004.6666666666666;0.315855546;0.31934292134732156;6.441742898799031;0.06410875160875161;0.12541053827173362;0.06410875160875161;0.08473281828390196
sift;2072.0;2146.5;0.1400899351118605;vgg;2072.0;2146.5;0.061650166068090734;l2;bf;1261.5;1378.0;0.4496175031666667;0.3406208795521514;0.38014006557404567;0.6088320463320464;0.9085289503539881;0.6088320463320464;0.724587469636718
sift;2072.0;2146.5;0.1400899351118605;beblid;2072.0;2146.5;0.0017410213933076863;l2;bf;1011.1666666666666;1161.5;0.3398058681666667;0.3041860335903122;0.35920622554660714;0.48801480051480045;0.8627501326895609;0.48801480051480045;0.6203317924022566
sift;2072.0;2146.5;0.1400899351118605;teblid;2072.0;2146.5;0.001010907544770079;l2;bf;688.3333333333334;1002.3333333333334;0.332220156;0.3410237582639408;0.5225644673256226;0.33220720720720714;0.6776897373108608;0.33220720720720714;0.44460239720332545
sift;2072.0;2146.5;0.1400899351118605;boost;2072.0;2146.5;0.012033527308903695;l2;bf;1013.8333333333334;1204.0;0.34867538800000003;0.29411011288950906;0.3548199702036395;0.48930180180180183;0.8386450400402378;0.48930180180180183;0.6171905754529988
akaze;1288.0;1624.3333333333333;0.09570836838604581;sift;1288.0;1624.3333333333333;0.03627219698767854;l2;bf;1138.1666666666667;1148.1666666666667;0.23173124499999997;0.20325606166758337;0.20524918489223998;0.8836697722567287;0.9911846349910342;0.8836697722567287;0.9341437169595902
akaze;1288.0;1624.3333333333333;0.09570836838604581;akaze;1288.0;1624.3333333333333;0.06940108625950735;l2;bf;1076.8333333333333;1099.6666666666667;0.28797601750000007;0.26434184763802243;0.27054301887379784;0.836050724637681;0.9788799035904012;0.836050724637681;0.901444286502188
akaze;1288.0;1624.3333333333333;0.09570836838604581;orb;1276.0;1621.0;0.005973276615863777;l2;bf;329.8333333333333;826.8333333333334;0.18349867733333336;0.22882094518996973;0.7080696072779062;0.2560817805383023;0.3993962713461768;0.2560817805383023;0.3113036223428056
akaze;1288.0;1624.3333333333333;0.09570836838604581;brisk;1288.0;1624.3333333333333;0.009653024413308075;l2;bf;1082.1666666666667;1097.8333333333333;0.19317220466666665;0.17870833973565062;0.18167641371595852;0.8401915113871636;0.9852707893432564;0.8401915113871636;0.9060991927351386
akaze;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
akaze;1288.0;1624.3333333333333;0.09570836838604581;daisy;1288.0;1624.3333333333333;0.13488782051759604;l2;bf;264.5;428.0;0.39352295966666656;1.2265183653328748;8.395534961263795;0.2053571428571429;0.3901235322479257;0.2053571428571429;0.2550729478003494
akaze;1288.0;1624.3333333333333;0.09570836838604581;freak;1288.0;1624.3333333333333;0.006826889069518587;l2;bf;831.5;887.0;0.1899348825;0.2200452778966636;0.23736753112815223;0.6455745341614907;0.9347017552763025;0.6455745341614907;0.7618139640738857
akaze;1288.0;1624.3333333333333;0.09570836838604581;brief;1288.0;1624.3333333333333;0.002893320868800956;l2;bf;553.8333333333334;729.6666666666666;0.17874701166666665;0.2537608367114674;0.3557063749830785;0.42999482401656314;0.7474180871377385;0.42999482401656314;0.5438360215340311
akaze;1288.0;1624.3333333333333;0.09570836838604581;lucid;1288.0;1624.3333333333333;0.005444689335023088;l2;bf;587.8333333333334;775.6666666666666;0.19867397516666666;0.2565308498030564;0.3459739277376302;0.45639233954451347;0.7563110334855411;0.45639233954451347;0.5687511647806748
akaze;1288.0;1624.3333333333333;0.09570836838604581;latch;1288.0;1624.3333333333333;0.0017186503994472237;l2;bf;242.0;717.8333333333334;0.17057595416666668;0.239835149901742;0.9427560403095953;0.18788819875776397;0.3303072831617328;0.18788819875776397;0.2394088438383283
