Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Reprojection Error;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;2072.0;2146.1666666666665;0.17400458290687204;sift;2072.0;2146.1666666666665;0.15307781001194185;L2;BF;nan;1400.1666666666667;1464.0;0.8573942791666666;0.6008018404905539;0.6324321217448566;0.6757561132561132;0.9539817250154027;0.6757561132561132;0.7880912050975061
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2146.1666666666665;0.17400458290687204;brisk;1920.0;2108.8333333333335;0.01238444663504891;L2;BF;nan;60.0;1177.8333333333333;0.5320041751666668;0.4578387189776863;9.378312351512173;0.028957528957528966;0.05117671116796804;0.028957528957528966;0.036945950608031054
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2146.1666666666665;0.17400458290687204;daisy;2072.0;2146.1666666666665;0.16184868429703414;L2;BF;nan;281.0;513.3333333333334;0.9907873091666667;2.419075157032038;22.209244842241457;0.13561776061776062;0.35078342577861094;0.13561776061776062;0.18831585873068898
sift;2072.0;2146.1666666666665;0.17400458290687204;freak;1832.0;2081.3333333333335;0.010498500509810493;L2;BF;nan;49.5;922.3333333333334;0.519872352;0.569204176456028;12.360459325156159;0.023889961389961394;0.05308051095854858;0.023889961389961394;0.032924565934652504
sift;2072.0;2146.1666666666665;0.17400458290687204;brief;1773.0;2064.3333333333335;0.0037882121652412777;L2;BF;nan;45.0;1009.8333333333334;0.46225616266666664;0.4726825498881708;11.258405049228235;0.021718146718146716;0.04466698725498631;0.021718146718146716;0.029114638438256735
sift;2072.0;2146.1666666666665;0.17400458290687204;lucid;2072.0;2146.1666666666665;0.0065197272006013406;L2;BF;nan;772.6666666666666;1039.1666666666667;0.7329502513333335;0.7196727379343025;1.0253931858182939;0.3729086229086229;0.7322890521178805;0.3729086229086229;0.49275180461509943
sift;2072.0;2146.1666666666665;0.17400458290687204;latch;1808.0;2076.8333333333335;0.002512127817111996;L2;BF;nan;40.666666666666664;1004.6666666666666;0.40613578133333333;0.40899234509298266;10.326149634115755;0.019626769626769628;0.04051581142332352;0.019626769626769628;0.026421955561424335
sift;2072.0;2146.1666666666665;0.17400458290687204;vgg;2072.0;2146.1666666666665;0.7836204429752255;L2;BF;nan;1261.3333333333333;1378.0;2.1351276726666666;1.5907890173735775;1.7680612934798032;0.6087516087516088;0.9083865696672784;0.6087516087516088;0.7244912036057848
sift;2072.0;2146.1666666666665;0.17400458290687204;beblid;2072.0;2146.1666666666665;0.007225518333748438;L2;BF;nan;1011.0;1161.5;0.5288236543333333;0.46931459277856646;0.5521929305008282;0.48793436293436293;0.8626261047072311;0.48793436293436293;0.6202190601539393
sift;2072.0;2146.1666666666665;0.17400458290687204;teblid;2072.0;2146.1666666666665;0.0052203491821161884;L2;BF;nan;687.6666666666666;1002.0;0.47357452250000004;0.4827915322210301;0.7370525429222353;0.33188545688545695;0.6771963790859404;0.33188545688545695;0.44419212285678605
sift;2072.0;2146.1666666666665;0.17400458290687204;boost;2072.0;2146.1666666666665;0.15746717374024086;L2;BF;nan;1013.1666666666666;1203.8333333333333;0.7934007375;0.6658201630740542;0.8021977188892385;0.4889800514800515;0.8380510772587564;0.4889800514800515;0.6167568689102904
akaze;1288.0;1624.5;0.14770486619978043;sift;1288.0;1624.5;0.09110123887413814;L2;BF;nan;1138.1666666666667;1148.1666666666667;0.46368967866666666;0.405964654788314;0.40984657503347516;0.8836697722567287;0.9911846349910342;0.8836697722567287;0.9341437169595902
akaze;1288.0;1624.5;0.14770486619978043;akaze;1288.0;1624.5;0.14362325242125365;L2;BF;nan;1076.8333333333333;1099.6666666666667;0.5763581598333333;0.528366837899215;0.5406599864010203;0.836050724637681;0.9788799035904012;0.836050724637681;0.901444286502188
akaze;1288.0;1624.5;0.14770486619978043;orb;1276.0;1621.1666666666667;0.01262700733633173;L2;BF;nan;109.16666666666667;826.8333333333334;0.31324037350000006;0.3887583528879162;4.403289937273375;0.0847567287784679;0.1371052133874044;0.0847567287784679;0.10462499605312219
akaze;1288.0;1624.5;0.14770486619978043;brisk;1288.0;1624.5;0.01413687554663501;L2;BF;nan;1082.1666666666667;1097.8333333333333;0.34350296883333337;0.3169458726124979;0.32219324941241967;0.8401915113871636;0.9852707893432564;0.8401915113871636;0.9060991927351386
akaze;1288.0;1624.5;0.14770486619978043;kaze;1288.0;1624.5;0.4376642029700278;L2;BF;nan;878.8333333333334;896.5;1.0121489495;1.140546712086203;1.1653912802827346;0.6823240165631471;0.9799145317170385;0.6823240165631471;0.8040227115253215
akaze;1288.0;1624.5;0.14770486619978043;daisy;1288.0;1624.5;0.21732698988277818;L2;BF;nan;264.0;428.0;0.7267071095;2.2568205927252456;15.858322456336083;0.2049689440993789;0.38825087307189565;0.2049689440993789;0.25442986098362913
akaze;1288.0;1624.5;0.14770486619978043;freak;1288.0;1624.5;0.011758196843907366;L2;BF;nan;831.5;887.0;0.3385391758333334;0.3909003311951449;0.42122187825732144;0.6455745341614907;0.9347017552763025;0.6455745341614907;0.7618139640738857
