k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Reprojection Error;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
0;sift;5094.0;5166.0;0.391654948;0.07581396593108788;sift;5094.0;5166.0;0.451163958;0.08733332520325202;L2;BF;nan;3251.0;3412.0;1.092430572;1.935249478;0.5671891787807738;0.5952782153183636;0.638201806046329;0.9528135990621337;0.638201806046329;0.7644015988713849
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5094.0;5166.0;0.391654948;0.07581396593108788;brisk;4734.0;5139.0;0.071442865;0.013902094765518583;L2;BF;nan;256.0;2976.0;0.87927125;1.342369063;0.4510648733198925;5.24362915234375;0.0502552021986651;0.08602150537634409;0.0502552021986651;0.0634448574969021
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5094.0;5166.0;0.391654948;0.07581396593108788;daisy;5094.0;5166.0;0.349254531;0.06760637456445992;L2;BF;nan;2831.0;2920.0;1.747600988;2.4885104670000002;0.8522296119863014;0.8790217121158602;0.5557518649391441;0.9695205479452055;0.5557518649391441;0.7065136011979036
0;sift;5094.0;5166.0;0.391654948;0.07581396593108788;freak;4442.0;5095.0;0.060729531;0.011919436898920511;L2;BF;nan;177.0;2446.0;0.815851615;1.2682360940000001;0.518493905968929;7.165175672316385;0.034746760895170786;0.07236304170073589;0.034746760895170786;0.04694960212201591
0;sift;5094.0;5166.0;0.391654948;0.07581396593108788;brief;4334.0;5097.0;0.013434219;0.0026357110064743968;L2;BF;nan;96.0;2325.0;0.49187099;0.8969601570000001;0.3857893148387097;9.34333496875;0.01884570082449941;0.04129032258064516;0.01884570082449941;0.02587949858471492
0;sift;5094.0;5166.0;0.391654948;0.07581396593108788;lucid;5094.0;5166.0;0.030938541;0.005988877468060394;L2;BF;nan;1734.0;2461.0;2.498182968;2.920776457;1.186825053636733;1.6844154884659748;0.3404004711425206;0.7045916294189354;0.3404004711425206;0.45903375248180006
0;sift;5094.0;5166.0;0.391654948;0.07581396593108788;latch;4377.0;5108.0;0.00833875;0.0016324882537196556;L2;BF;nan;56.0;2320.0;0.129750677;0.529744375;0.2283380926724138;9.459720982142859;0.01099332548095799;0.02413793103448276;0.01099332548095799;0.015106555165902348
0;sift;5094.0;5166.0;0.391654948;0.07581396593108788;vgg;5094.0;5166.0;4.843395362;0.9375523348819201;L2;BF;nan;3126.0;3366.0;0.444511041;5.679561351;1.687332546345811;1.8168782312859886;0.6136631330977621;0.928698752228164;0.6136631330977621;0.7390070921985816
0;sift;5094.0;5166.0;0.391654948;0.07581396593108788;beblid;5094.0;5166.0;0.035076875;0.006789948703058459;L2;BF;nan;2209.0;2653.0;0.944657708;1.3713895310000002;0.5169202906143989;0.6208191629696697;0.433647428347075;0.8326422917451941;0.433647428347075;0.5702852717180844
