Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;2072.0;2146.1666666666665;0.16938657551030703;sift;2072.0;2146.1666666666665;0.15225046869814393;l2;bf;1400.1666666666667;1464.0;0.8346499213333333;0.5844508163110637;0.6151312577916511;0.6757561132561132;0.9539817250154027;0.6757561132561132;0.7880912050975061;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2146.1666666666665;0.16938657551030703;brisk;1920.0;2108.8333333333335;0.012058205011426298;l2;bf;645.8333333333334;1177.8333333333333;0.5209524646666667;0.4481872437084565;0.8904442619886016;0.3116956241956242;0.5475790958006911;0.3116956241956242;0.3967662538106172;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2146.1666666666665;0.16938657551030703;daisy;2072.0;2146.1666666666665;0.1715655606761994;l2;bf;281.0;513.3333333333334;0.9938431593333332;2.458959141153675;22.94755855771191;0.13561776061776062;0.35078342577861094;0.13561776061776062;0.18831585873068898;nan;nan;nan
sift;2072.0;2146.1666666666665;0.16938657551030703;freak;1832.0;2081.3333333333335;0.010342981508546933;l2;bf;398.6666666666667;922.3333333333334;0.5099693829999999;0.5584010688801501;1.5619723174368507;0.19240669240669242;0.4257823621373642;0.19240669240669242;0.26481177239730863;nan;nan;nan
sift;2072.0;2146.1666666666665;0.16938657551030703;brief;1773.0;2064.3333333333335;0.0037165634559498586;l2;bf;308.0;1009.8333333333334;0.45047691816666663;0.4606017369750581;2.0590334902514678;0.14864864864864866;0.2995608617655629;0.14864864864864866;0.19788864097236103;nan;nan;nan
sift;2072.0;2146.1666666666665;0.16938657551030703;lucid;2072.0;2146.1666666666665;0.006493341039875089;l2;bf;772.6666666666666;1039.1666666666667;0.7254994526666666;0.712298163061439;1.0143726158764188;0.3729086229086229;0.7322890521178805;0.3729086229086229;0.49275180461509943;nan;nan;nan
sift;2072.0;2146.1666666666665;0.16938657551030703;latch;1808.0;2076.8333333333335;0.0022667989443630647;l2;bf;124.66666666666667;1004.6666666666666;0.39285505183333336;0.39542039331721274;8.08799612869259;0.06016731016731016;0.11827807830084569;0.06016731016731016;0.07965562421074891;nan;nan;nan
