Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;2072.0;2222.0;0.11577754922370505;sift;2072.0;2222.0;0.1257039387309679;l2;bf;1093.5;1204.5;0.7467251925000001;0.5674605330338146;0.6293831849590238;0.5277509652509652;0.9050779125137147;0.6490659315673816;0.6531246674858039;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;brisk;1920.0;2080.5;0.011472104597239907;l2;bf;266.1666666666667;730.3333333333334;0.4714677821666666;0.6444123676488163;2.535242011777068;0.12845881595881595;0.352783106398827;0.1560301663809411;0.1822535876820609;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;daisy;2072.0;2222.0;0.10296752370074196;l2;bf;903.6666666666666;992.5;0.7901711921666666;0.7807352363902375;0.9899756270754642;0.4361325611325611;0.8497638047177091;0.49198307768322364;0.5614810778186191;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;freak;1832.0;1980.0;0.010218921825277354;l2;bf;171.83333333333334;647.3333333333334;0.4341119873333333;0.6558355034677325;3.585883909801313;0.08293114543114542;0.2648520157773815;0.10282202939976103;0.12217457776403172;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;brief;1773.0;1929.1666666666667;0.0035095632337560603;l2;bf;69.66666666666667;710.6666666666666;0.34345616650000005;0.4455268188327112;10.047288515258044;0.03362290862290863;0.09214627552992755;0.03943078592783842;0.04868120589757272;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;lucid;2072.0;2222.0;0.005819329509030438;l2;bf;334.0;816.8333333333334;0.6623613078333334;0.7628618829136334;3.520889323735968;0.16119691119691118;0.36118116887015633;0.175817130884337;0.221143057475204;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;latch;1808.0;1957.3333333333333;0.0018954629703824067;l2;bf;37.166666666666664;870.5;0.30630359;0.3186486087380856;7.70203862877608;0.017937580437580435;0.04349257474322057;0.02312698485068171;0.02499030820777565;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;vgg;2072.0;2222.0;0.7917024185990867;l2;bf;1027.8333333333333;1177.8333333333333;2.152361487;1.724164856002685;2.029746918657884;0.49605855855855857;0.854520672121467;0.5929979673251117;0.614500421147158;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;beblid;2072.0;2222.0;0.006089354369436871;l2;bf;793.6666666666666;976.5;0.4644906925;0.4447441853972096;0.560605334632363;0.38304375804375806;0.8061504392227232;0.4733114762026434;0.5099939929264907;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;teblid;2072.0;2222.0;0.0038182052854773;l2;bf;569.0;900.5;0.3937068593333333;0.4023328353844078;0.6601513683246107;0.2746138996138996;0.6280259327083249;0.34156805491351067;0.37628905425044157;nan;nan;nan
sift;2072.0;2222.0;0.11577754922370505;boost;2072.0;2222.0;0.15565371781359885;l2;bf;761.0;994.3333333333334;0.7333773848333333;0.6882820166154401;0.916057341174865;0.3672779922779923;0.7630080046896399;0.45734235824683694;0.4877601475399178;nan;nan;nan
akaze;1288.0;1348.8333333333333;0.10455164361454106;sift;1288.0;1348.8333333333333;0.08646475472487064;l2;bf;866.8333333333334;882.0;0.3423560256666667;0.3569672216593529;0.36352383833060387;0.6730072463768115;0.9813581779833247;0.8204588967574847;0.7807939666025997;nan;nan;nan
akaze;1288.0;1348.8333333333333;0.10455164361454106;akaze;1288.0;1348.8333333333333;0.1009529612948002;l2;bf;774.0;816.0;0.3871932046666666;0.4352817747882243;0.46043574344762933;0.6009316770186336;0.9480308614407064;0.7398485297394499;0.7215780988582243;nan;nan;nan
akaze;1288.0;1348.8333333333333;0.10455164361454106;orb;1276.0;1337.8333333333333;0.010552348943458646;l2;bf;78.83333333333333;478.6666666666667;0.2107083975;0.4260620326581881;6.251973830596076;0.06120600414078675;0.14176872693341377;0.06829141861135078;0.08409200893047118;nan;nan;nan
akaze;1288.0;1348.8333333333333;0.10455164361454106;brisk;1288.0;1348.8333333333333;0.012797914461642702;l2;bf;570.0;639.0;0.23852993599999997;0.3507221356775667;0.4015616137004204;0.4425465838509317;0.88273823472248;0.5358697510579131;0.5782136665471146;nan;nan;nan
