Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;13299.0;9151.6;0.019210313020373283;sift;13299.0;9151.6;0.018434824941818414;L2;BF;1370.6;3820.4;0.49073806859999997;0.13760861577625158;0.6051970781256235;0.10306038047973531;0.3093224497577938;0.13890304829567252;0.15204193901944307;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;brisk;12693.0;8789.6;0.008058820730236258;L2;BF;138.8;2360.0;0.5952250298;0.3105150110063029;8.265697788486595;0.010436874953003984;0.05016889544152044;0.01348529496037502;0.01666813416826774;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;daisy;13299.0;9151.6;0.018887695771135027;L2;BF;1616.6;2171.0;0.6288670092;0.7979573487784221;6.767261123427195;0.12155801188059252;0.4303917824657222;0.13305950261356353;0.18300591632452978;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;freak;12200.0;8470.2;0.0052032208950037245;L2;BF;101.0;2158.0;0.5390424686;0.2650265556600286;9.077584667311424;0.007594555981652755;0.041982960571197124;0.010582381120532173;0.012635786489976073;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;brief;11920.0;8308.0;0.0021058059890155197;L2;BF;74.6;3542.8;0.25733961819999995;0.07820534992476479;3.573003815207218;0.005609444319121739;0.02190866542039383;0.009893822560246141;0.008707521888959383;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;lucid;13299.0;9151.6;0.0034997103170384897;L2;BF;376.2;3348.6;1.1254008074;0.3271249608607619;5.777984156144379;0.028287841191066997;0.09214761081989009;0.03522118474612456;0.04282890250501657;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;latch;12072.0;8410.6;0.0010746481759326006;L2;BF;89.2;4469.0;0.18107883279999998;0.04519889685024407;2.152632402131448;0.006707271223400256;0.020582358488000888;0.011892675226151141;0.009873606042097785;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;vgg;13299.0;9151.6;0.057946319812267236;L2;BF;1066.8;3708.0;0.8397899552;0.23100587585355736;4.400595534186135;0.08021655763591248;0.2121057266863975;0.09140937731451668;0.11551973491564568;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;beblid;13299.0;9151.6;0.0011885277716050587;L2;BF;263.4;2750.0;0.7092393738;0.25436700206217316;6.9569836463586086;0.019806000451161744;0.07667770726907161;0.02438117415687285;0.03119792680391858;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;teblid;13299.0;9151.6;0.0006006036995922137;L2;BF;120.0;3299.4;0.36235014200000004;0.112754944943998;4.316700975596146;0.009023234829686443;0.03410277111391327;0.013771102174802532;0.01403006184442461;nan;nan;nan
sift;13299.0;9151.6;0.019210313020373283;boost;13299.0;9151.6;0.010654511022298519;L2;BF;76.0;3218.6;0.44966954000000003;0.14132416093810657;6.232414289437848;0.005714715392134747;0.023319652390286695;0.009367755040538824;0.008996967912763238;nan;nan;nan
