Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Reprojection Error;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;13300.0;9152.6;0.04801984661188077;sift;13300.0;9152.6;0.07249172211931602;L2;BF;nan;1374.6;3822.2;6.293109705800001;1.5667379928301803;5.964539971143449;0.10335338345864661;0.310235313462884;0.13933494945434616;0.1524862468922923
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;13300.0;9152.6;0.04801984661188077;brisk;12694.0;8790.6;0.013199736329603567;L2;BF;nan;148.8;2359.0;4.290601977;2.0491135843672295;53.18833154570675;0.01118796992481203;0.052946043415360786;0.014298242337573795;0.01784101373166054
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;13300.0;9152.6;0.04801984661188077;daisy;13300.0;9152.6;0.04343027385318778;L2;BF;nan;1616.4;2171.0;9.396439798600001;8.788139491325337;66.28903348562419;0.12153383458646616;0.4303476907549638;0.13304497677669697;0.18297310634358693
sift;13300.0;9152.6;0.04801984661188077;freak;12200.0;8471.2;0.011409359442302239;L2;BF;nan;58.2;2159.4;4.775415956;2.0992239315944046;76.64230747724656;0.00437593984962406;0.02758737221989569;0.007030735373068283;0.007357998859950457
sift;13300.0;9152.6;0.04801984661188077;brief;11920.0;8308.8;0.0028961669722888995;L2;BF;nan;71.6;3543.0;5.5867755602;1.376368842914795;74.04087556331629;0.0053834586466165405;0.0215992893030182;0.009823151606224316;0.008414139087447339
sift;13300.0;9152.6;0.04801984661188077;lucid;13300.0;9152.6;0.0063300749159996075;L2;BF;nan;347.4;3348.6;14.422891358799998;3.9405027098570216;63.3074625473919;0.0261203007518797;0.08579917872515426;0.03314845303398785;0.03953377963383311
sift;13300.0;9152.6;0.04801984661188077;latch;12072.0;8411.4;0.0017398245713401948;L2;BF;nan;94.8;4470.6;0.9728065624000001;0.21432613294169758;10.10068225032813;0.00712781954887218;0.02197786445615208;0.012727466468008593;0.010511849668046264
sift;13300.0;9152.6;0.04801984661188077;vgg;13300.0;9152.6;1.1301205577981819;L2;BF;nan;1067.0;3709.8;13.694048453799999;3.4126774003126776;52.71193917544623;0.08022556390977444;0.21200699546985646;0.09148871274593127;0.11549518835236927
sift;13300.0;9152.6;0.04801984661188077;beblid;13300.0;9152.6;0.007980519366132031;L2;BF;nan;220.4;2751.2;5.6032804874;1.8703751179515677;41.62191462377085;0.016571428571428574;0.07018845023316338;0.02218414605917555;0.02656808127383962
sift;13300.0;9152.6;0.04801984661188077;teblid;13300.0;9152.6;0.0045866490877887805;L2;BF;nan;68.6;3301.6;3.2525264052;0.9148850666969228;43.49726328521653;0.005157894736842106;0.022017209511574595;0.009481514863502488;0.008169915818896218
sift;13300.0;9152.6;0.04801984661188077;boost;13300.0;9152.6;0.27260687271140915;L2;BF;nan;87.6;3217.6;5.849357445400001;1.662361494159643;72.18416965351221;0.0065864661654135345;0.025500544957054137;0.010103255766351833;0.01025628060999478
akaze;6115.0;4963.4;0.04013919632127487;sift;6115.0;4963.4;0.07174039183615004;L2;BF;nan;1653.4;2144.8;2.0073572281999996;0.937352784729104;1.4232545199135225;0.27038430089942767;0.7174961242885793;0.31107404193854965;0.38634611540498254
akaze;6115.0;4963.4;0.04013919632127487;akaze;6115.0;4963.4;0.045258420100098944;L2;BF;nan;1148.0;2281.2;2.4913994778000004;1.0572738255109806;2.288377446706023;0.1877350776778414;0.47656065617950666;0.21975782434784988;0.26731106910574687
akaze;6115.0;4963.4;0.04013919632127487;orb;6078.0;4942.8;0.005548395126092184;L2;BF;nan;70.6;1789.0;0.9524485722;0.523619495558206;14.419099057040365;0.011545380212591988;0.03740968225964716;0.013508513513358472;0.017444780097865577
