Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;5580.0;6003.8;0.030050544023425114;sift;5580.0;6003.8;0.049834915281494564;l2;bf;1907.2;2633.2;1.5387359692;0.6159639976720281;1.089237043180376;0.3417921146953405;0.6612925175800439;0.3550053340147818;0.44285733710845127;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;5580.0;6003.8;0.030050544023425114;brisk;5310.0;5707.6;0.009603596608100125;l2;bf;1179.6;1909.8;1.2503815076000002;0.704178365748192;5.072225449932263;0.21139784946236562;0.5057902100597385;0.2126707086683949;0.29500235504537703;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;5580.0;6003.8;0.030050544023425114;daisy;5580.0;6003.8;0.027478953632594456;l2;bf;2167.8;2357.2;2.0987187541999996;0.9516448525354699;1.0817458388165275;0.388494623655914;0.8979077882074801;0.4133606963510369;0.5276863454046805;nan;nan;nan
sift;5580.0;6003.8;0.030050544023425114;freak;5104.0;5497.0;0.009077576241770483;l2;bf;804.8;1651.6;1.1532545076;0.7343399530367056;6.088791216212165;0.14422939068100357;0.39352041964547757;0.14522902716866556;0.20965491023447944;nan;nan;nan
sift;5580.0;6003.8;0.030050544023425114;brief;4934.0;5340.2;0.0020253592789714865;l2;bf;544.4;2170.2;0.5299554150000001;0.24659017230924918;4.390630221203759;0.09756272401433692;0.21489370310745898;0.09884933309595471;0.13389015534993892;nan;nan;nan
sift;5580.0;6003.8;0.030050544023425114;lucid;5580.0;6003.8;0.0035436724572206015;l2;bf;538.0;1641.0;2.7683626458;1.7459313887843453;14.884206059311044;0.096415770609319;0.26508636896684423;0.09775813173628749;0.14027319099563862;nan;nan;nan
sift;5580.0;6003.8;0.030050544023425114;latch;5018.0;5425.4;0.0011047324021983588;l2;bf;168.6;2475.6;0.2612601846;0.10688553498275674;3.30115151172812;0.030215053763440858;0.06527462263711271;0.03158698999974758;0.04118420704594504;nan;nan;nan
