Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;5580.0;6003.8;0.03889978909505491;sift;5580.0;6003.8;0.05565290677498772;l2;bf;1907.2;2633.2;1.8725011973999997;0.7549869211318748;1.3452428831376124;0.3417921146953405;0.6612925175800439;0.3550053340147818;0.44285733710845127;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;5580.0;6003.8;0.03889978909505491;brisk;5310.0;5707.6;0.012161701506863725;l2;bf;1179.6;1909.8;1.2873733954;0.7387456507500583;5.530741314180467;0.21139784946236562;0.5057902100597385;0.2126707086683949;0.29500235504537703;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;5580.0;6003.8;0.03889978909505491;daisy;5580.0;6003.8;0.03604140438635624;l2;bf;2167.8;2357.2;2.61424202;1.1864137653497875;1.3485650566656084;0.388494623655914;0.8979077882074801;0.4133606963510369;0.5276863454046805;nan;nan;nan
sift;5580.0;6003.8;0.03889978909505491;freak;5104.0;5497.0;0.010829554995843977;l2;bf;804.8;1651.6;1.2055063542000002;0.7807843513014638;6.760559924735256;0.14422939068100357;0.39352041964547757;0.14522902716866556;0.20965491023447944;nan;nan;nan
sift;5580.0;6003.8;0.03889978909505491;brief;4934.0;5340.2;0.0021754635675453778;l2;bf;544.4;2170.2;0.766648792;0.35919774441110414;6.585184622038474;0.09756272401433692;0.21489370310745898;0.09884933309595471;0.13389015534993892;nan;nan;nan
sift;5580.0;6003.8;0.03889978909505491;lucid;5580.0;6003.8;0.004214196450089974;l2;bf;538.0;1641.0;3.1912981445999997;2.0345347918782553;17.740511215123757;0.096415770609319;0.26508636896684423;0.09775813173628749;0.14027319099563862;nan;nan;nan
sift;5580.0;6003.8;0.03889978909505491;latch;5018.0;5425.4;0.0013372019221992207;l2;bf;168.6;2475.6;0.36006124;0.14813156250964957;4.536705384802932;0.030215053763440858;0.06527462263711271;0.03158698999974758;0.04118420704594504;nan;nan;nan
sift;5580.0;6003.8;0.03889978909505491;vgg;5580.0;6003.8;0.8855622613338229;l2;bf;1864.6;2672.0;6.0338526545999995;2.3660689260126966;4.667432342691798;0.33415770609318995;0.6273178930898735;0.34489558803832576;0.42923891352902055;nan;nan;nan
sift;5580.0;6003.8;0.03889978909505491;beblid;5580.0;6003.8;0.0063320047962414265;l2;bf;858.6;1945.2;1.3650379272;0.7373555184872502;3.063929992779335;0.15387096774193548;0.37681257104750737;0.15762860353928837;0.2160529652134331;nan;nan;nan
sift;5580.0;6003.8;0.03889978909505491;teblid;5580.0;6003.8;0.003723917888650141;l2;bf;543.2;2085.2;0.8693937500000001;0.425747618584294;4.6123114742638505;0.09734767025089605;0.22564464875875484;0.09851796104793589;0.13549254535943242;nan;nan;nan
