Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;10327.0;10918.4;0.02574947600889351;sift;10327.0;10918.4;0.046696048174970674;l2;bf;2981.2;4751.8;5.7069519664;1.2653712297758457;18.046260422570036;0.2886801588070108;0.5552939295223642;0.2886801588070108;0.37751188751522124;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;brisk;9848.0;10445.6;0.012739585687755222;l2;bf;1312.6;3233.8;3.9714512172;1.2697627861895273;29.048440662613007;0.12710370872470225;0.34610355302313256;0.12710370872470225;0.18506275298404645;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;daisy;10327.0;10918.4;0.02398980941437934;l2;bf;2981.8;3659.0;8.388160371599998;2.702409854643978;5.561038854457926;0.28873825893289434;0.7299514667299803;0.28873825893289434;0.4060992613479109;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;freak;9496.0;10042.4;0.01168658673051825;l2;bf;792.0;2620.0;3.7016415404;1.4434586369146816;29.60059760639179;0.07669216616636003;0.26114598980441917;0.07669216616636003;0.11820627187817298;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;brief;9244.0;9720.8;0.002040578606691116;l2;bf;321.8;3802.8;2.2177476553999997;0.5837173103173912;21.211404055145;0.031161034182240734;0.08016030793622705;0.031161034182240734;0.04486183281638291;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;lucid;10327.0;10918.4;0.004495914796026096;l2;bf;62.2;2572.0;10.8074958604;4.203502647034441;174.9386730097529;0.0060230463832671634;0.024180043497563704;0.0060230463832671634;0.00964356911848269;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;latch;9360.0;9878.0;0.001262292769722845;l2;bf;102.6;4637.4;0.7590044365999999;0.16367281653680701;7.491701609927124;0.009935121526096638;0.022138278152097374;0.009935121526096638;0.013714887399217973;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;vgg;10327.0;10918.4;0.9269067345426674;l2;bf;2548.8;4650.4;12.370022641199999;2.784801367247149;43.40845640593346;0.24680933475355862;0.4803927799200169;0.24680933475355862;0.3239752088656703;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;beblid;10327.0;10918.4;0.006283608949049916;l2;bf;585.2;3080.0;4.245916102200001;1.3897892643713319;42.23241599963008;0.0566669894451438;0.17104541178818794;0.0566669894451438;0.08504154128479513;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;teblid;10327.0;10918.4;0.0036340587124380217;l2;bf;193.2;3541.2;2.4731485198;0.6988351472625574;28.034091137859605;0.018708240534521157;0.052984042345798385;0.018708240534521157;0.027648077608701672;nan;nan;nan
sift;10327.0;10918.4;0.02574947600889351;boost;10327.0;10918.4;0.22971185169684155;l2;bf;602.6;3552.8;4.9733854358;1.4065768524846431;43.517462726115845;0.05835189309576838;0.15516844130065874;0.05835189309576838;0.08475143558820979;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;sift;3753.0;3282.2;0.053011477367574535;l2;bf;1373.6;1640.2;0.7980340722;0.560582866505188;1.1567198376943542;0.3660005329070077;0.7534995225840441;0.41623528733271653;0.4833981112600503;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;akaze;3753.0;3282.2;0.04691508573914029;l2;bf;759.2;1546.8;0.9801506663999999;0.6593227559654993;7.461670934600855;0.20229150013322675;0.42643751966218535;0.22930832190094114;0.27268617351356694;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;orb;3723.0;3259.4;0.004424117432806631;l2;bf;256.2;1361.0;0.41617625999999996;0.30786476065345275;7.3288418610790895;0.0682653876898481;0.1650345220595558;0.07634663253815163;0.09645530486804793;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;brisk;3753.0;3282.2;0.015270703979183902;l2;bf;678.2;1404.0;0.6459704372;0.4833627231281078;6.9577694111539845;0.18070876632027713;0.40448805418474854;0.20460394334646875;0.24792912491958333;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;kaze;3753.0;3282.2;0.13672619467262917;l2;bf;539.0;596.8;0.8316740100000001;2.0129010172972626;3.7836484116392377;0.14361843858246737;0.8058670414150306;0.16324440671780302;0.2382987131536412;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;daisy;3753.0;3282.2;0.06837771337130613;l2;bf;1492.4;1709.0;1.1530243951999999;0.8198318751276013;1.4607736680940542;0.39765520916600056;0.7867629088962407;0.4521766837203941;0.5145585461650852;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;freak;3753.0;3282.2;0.013573841475439219;l2;bf;364.2;1147.8;0.6469937188;0.571542798820136;9.49511632028167;0.09704236610711431;0.28363730784165436;0.10980473375649827;0.14419134365775693;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;brief;3753.0;3282.2;0.003900291945448893;l2;bf;241.4;1392.4;0.4326936452;0.3114627236401021;5.815257776928756;0.06432187583266721;0.16445462577636988;0.07280521362261268;0.09241772855354335;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;lucid;3753.0;3282.2;0.006026433946675943;l2;bf;33.4;1085.6;1.3182294366;1.2163976154322458;39.75170586983193;0.008899547029043432;0.030746389045630783;0.010177528585077904;0.01379900940652048;nan;nan;nan
akaze;3753.0;3282.2;0.04340845735214105;latch;3753.0;3282.2;0.0016426065437886998;l2;bf;44.8;1732.4;0.22452873899999998;0.12966102202040752;5.027368298103864;0.011937116973088196;0.025875442537344577;0.01366603466180836;0.016336605326069637;nan;nan;nan
